"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",2135,124,3.4847775175644,1.62997658079625,0.0483870967741935,0.168618266978923,0.258064516129032,71,65,6,25,50,7,17,26,16,9.88920843091335,7,2,1,0,0,3,6,1,3,1,1,2,0,1
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",1609,90,3.3561218147918,1.9763828464885,0.111111111111111,0.372902423865755,0.288888888888889,54,44,4,19,36,4,9,24,13,29.2713486637663,18,1,1,10,16,4,6,0,0,5,2,0,0,2
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",1002,49,2.93413173652695,1.1377245508982,0.102040816326531,0.29940119760479,0.285714285714286,26,21,2,12,24,1,3,14,7,20.3188023952096,6,2,0,0,0,3,5,0,1,0,0,2,0,1
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",618,34,3.30097087378641,1.84466019417476,0.0294117647058824,0.0970873786407767,0.235294117647059,18,17,3,7,13,3,4,9,4,18.2069902912621,9,1,1,1,2,3,10,2,4,0,6,0,1,2
"Jacob Groves",675,33,2.93333333333333,1.24444444444444,-0.0606060606060606,-0.177777777777778,0.181818181818182,20,22,1,7,15,3,8,8,3,45.9572444444444,12,2,0,2,2,4,6,2,3,0,0,1,0,4
"Jordan Minor",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
