"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsLOU",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsLOU",2
1,"19:39","Brandon Huntley-Hatfield vs. Ryan Dunn (Andrew Rohde gains possession)",1179,""," ","Brandon",0,0,"Cavs","vsLOU",3
1,"19:39","Brandon Huntley-Hatfield makes two point layup (Ty-Laur Johnson assists)",1179,"Made Two","makes","Brandon Huntley-Hatfield",0,2,"Cavs","vsLOU",3
1,"19:39","Ryan Dunn shooting foul (Brandon Huntley-Hatfield draws the foul)",1179,"Foul","shooting foul","Ryan Dunn",0,2,"Cavs","vsLOU",3
1,"19:39","Brandon Huntley-Hatfield misses regular free throw 1 of 1",1179,"Missed FT","misses","Brandon Huntley-Hatfield",0,2,"Cavs","vsLOU",3
1,"19:18","Jacob Groves defensive rebound",1158,"Def Rebound","defensive rebound","Jacob Groves",0,2,"Opp","vsLOU",4
1,"18:52","Jacob Groves makes two point jump shot (Andrew Rohde assists)",1132,"Made Two","makes","Jacob Groves",2,2,"Cavs","vsLOU",5
1,"18:27","Skyy Clark makes three point jump shot (Danilo Jovanovich assists)",1107,"Made Three","makes","Skyy Clark",2,5,"Opp","vsLOU",6
1,"18:25","Jacob Groves misses two point turnaround fadeaway jump shot",1105,"Missed Two","misses","Jacob Groves",2,5,"Opp","vsLOU",6
1,"17:57","Ty-Laur Johnson defensive rebound",1077,"Def Rebound","defensive rebound","Ty-Laur Johnson",2,5,"Cavs","vsLOU",7
1,"17:44","Ty-Laur Johnson turnover (lost ball) (Reece Beekman steals)",1064,"Turnover","turnover","Ty-Laur Johnson",2,5,"Opp","vsLOU",8
1,"17:17","Andrew Rohde makes three point jump shot (Reece Beekman assists)",1037,"Made Three","makes","Andrew Rohde",5,5,"Cavs","vsLOU",9
1,"17:15","Ty-Laur Johnson misses three point jump shot",1035,"Missed Three","misses","Ty-Laur Johnson",5,5,"Cavs","vsLOU",9
1,"16:57","Jacob Groves defensive rebound",1017,"Def Rebound","defensive rebound","Jacob Groves",5,5,"Opp","vsLOU",10
1,"16:55","Isaac McKneely misses three point jump shot",1015,"Missed Three","misses","Isaac McKneely",5,5,"Opp","vsLOU",10
1,"16:48","Brandon Huntley-Hatfield defensive rebound",1008,"Def Rebound","defensive rebound","Brandon Huntley-Hatfield",5,5,"Cavs","vsLOU",11
1,"16:46","Mike James misses three point jump shot",1006,"Missed Three","misses","Mike James",5,5,"Cavs","vsLOU",11
1,"16:22","Jacob Groves defensive rebound",982,"Def Rebound","defensive rebound","Jacob Groves",5,5,"Opp","vsLOU",12
1,"15:49","Reece Beekman makes two point jump shot",949,"Made Two","makes","Reece Beekman",7,5,"Cavs","vsLOU",13
1,"15:47","Danilo Jovanovich misses three point jump shot",947,"Missed Three","misses","Danilo Jovanovich",7,5,"Cavs","vsLOU",13
1,"15:29","Jacob Groves defensive rebound",929,"Def Rebound","defensive rebound","Jacob Groves",7,5,"Opp","vsLOU",14
1,"15:27","Jacob Groves misses three point jump shot",927,"Missed Three","misses","Jacob Groves",7,5,"Opp","vsLOU",14
1,"15:06","Mike James defensive rebound",906,"Def Rebound","defensive rebound","Mike James",7,5,"Cavs","vsLOU",15
1,"15:06","Isaac McKneely personal foul (Ty-Laur Johnson draws the foul)",906,"Foul","personal foul","Isaac McKneely",7,5,"Cavs","vsLOU",15
1,"15:06","TV timeout",906,""," ","TV",7,5,"Cavs","vsLOU",15
1,"15:06","Cavaliers lineup change (Reece Beekman, Andrew Rohde, Blake Buchanan, Taine Murray, Jacob Groves)",906,"Cav Sub"," ","Cavaliers",7,5,"Cavs","vsLOU",15
1,"14:47","Cardinals lineup change (Mike James, Curtis Williams, Brandon Huntley-Hatfield, Danilo Jovanovich, Skyy Clark)",887,"Opp Sub"," ","Cardinals",7,5,"Cavs","vsLOU",15
1,"14:45","Curtis Williams misses three point jump shot",885,"Missed Three","misses","Curtis Williams",7,5,"Cavs","vsLOU",15
1,"14:23","Blake Buchanan defensive rebound",863,"Def Rebound","defensive rebound","Blake Buchanan",7,5,"Opp","vsLOU",16
1,"14:21","Andrew Rohde misses three point jump shot",861,"Missed Three","misses","Andrew Rohde",7,5,"Opp","vsLOU",16
1,"14:08","Jacob Groves offensive rebound",848,"Off Rebound","offensive rebound","Jacob Groves",7,5,"Opp","vsLOU",16
1,"13:44","Reece Beekman makes two point pullup jump shot (Taine Murray assists)",824,"Made Two","makes","Reece Beekman",9,5,"Cavs","vsLOU",17
1,"13:19","Mike James makes two point driving layup",799,"Made Two","makes","Mike James",9,7,"Opp","vsLOU",18
1,"12:46","Taine Murray makes three point pullup jump shot (Reece Beekman assists)",766,"Made Three","makes","Taine Murray",12,7,"Cavs","vsLOU",19
1,"12:31","Skyy Clark makes three point jump shot (Danilo Jovanovich assists)",751,"Made Three","makes","Skyy Clark",12,10,"Opp","vsLOU",20
1,"12:07","Blake Buchanan makes two point cutting dunk (Reece Beekman assists)",727,"Made Two","makes","Blake Buchanan",14,10,"Cavs","vsLOU",21
1,"12:07","Andrew Rohde shooting foul (Mike James draws the foul)",727,"Foul","shooting foul","Andrew Rohde",14,10,"Cavs","vsLOU",21
1,"12:07","Mike James makes regular free throw 1 of 2",727,"Made FT","makes","Mike James",14,11,"Cavs","vsLOU",21
1,"12:07","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Elijah Gertrude, Taine Murray, Leon Bond III)",727,"Cav Sub"," ","Cavaliers",14,11,"Cavs","vsLOU",21
1,"12:07","Cardinals lineup change (Mike James, Curtis Williams, Brandon Huntley-Hatfield, Ty-Laur Johnson, Kaleb Glenn)",727,"Opp Sub"," ","Cardinals",14,11,"Cavs","vsLOU",21
1,"11:38","Mike James makes regular free throw 2 of 2",698,"Made FT","makes","Mike James",14,12,"Opp","vsLOU",22
1,"11:36","Reece Beekman misses three point jump shot",696,"Missed Three","misses","Reece Beekman",14,12,"Opp","vsLOU",22
1,"11:23","Leon Bond III offensive rebound",683,"Off Rebound","offensive rebound","Leon Bond III",14,12,"Opp","vsLOU",22
1,"11:21","Blake Buchanan misses two point driving hook shot",681,"Missed Two","misses","Blake Buchanan",14,12,"Opp","vsLOU",22
1,"11:18","Leon Bond III offensive rebound",678,"Off Rebound","offensive rebound","Leon Bond III",14,12,"Opp","vsLOU",22
1,"11:17","TV timeout",677,""," ","TV",14,12,"Opp","vsLOU",22
1,"11:03","Reece Beekman turnover (bad pass) (Kaleb Glenn steals)",663,"Turnover","turnover","Reece Beekman",14,12,"Cavs","vsLOU",23
1,"11:03","Ty-Laur Johnson turnover (bad pass) (Leon Bond III steals)",663,"Turnover","turnover","Ty-Laur Johnson",14,12,"Opp","vsLOU",24
1,"11:03","Cavaliers lineup change (Andrew Rohde, Isaac McKneely, Taine Murray, Ryan Dunn, Leon Bond III)",663,"Cav Sub"," ","Cavaliers",14,12,"Opp","vsLOU",24
1,"10:47","Cardinals lineup change (Zan Payne, Curtis Williams, Ty-Laur Johnson, Skyy Clark, Kaleb Glenn)",647,"Opp Sub"," ","Cardinals",14,12,"Opp","vsLOU",24
1,"10:45","Andrew Rohde misses three point jump shot",645,"Missed Three","misses","Andrew Rohde",14,12,"Opp","vsLOU",24
1,"10:37","Zan Payne defensive rebound",637,"Def Rebound","defensive rebound","Zan Payne",14,12,"Cavs","vsLOU",25
1,"10:35","Skyy Clark misses three point pullup jump shot",635,"Missed Three","misses","Skyy Clark",14,12,"Cavs","vsLOU",25
1,"10:10","Ryan Dunn defensive rebound",610,"Def Rebound","defensive rebound","Ryan Dunn",14,12,"Opp","vsLOU",26
1,"10:08","Isaac McKneely misses two point stepback jump shot",608,"Missed Two","misses","Isaac McKneely",14,12,"Opp","vsLOU",26
1,"9:58","Kaleb Glenn defensive rebound",598,"Def Rebound","defensive rebound","Kaleb Glenn",14,12,"Cavs","vsLOU",27
1,"9:38","Skyy Clark turnover (traveling)",578,"Turnover","turnover","Skyy Clark",14,12,"Opp","vsLOU",28
1,"9:16","Isaac McKneely makes three point jump shot (Leon Bond III assists)",556,"Made Three","makes","Isaac McKneely",17,12,"Cavs","vsLOU",29
1,"9:14","Curtis Williams misses three point jump shot",554,"Missed Three","misses","Curtis Williams",17,12,"Cavs","vsLOU",29
1,"9:07","Isaac McKneely defensive rebound",547,"Def Rebound","defensive rebound","Isaac McKneely",17,12,"Opp","vsLOU",30
1,"9:06","Cardinals kicked ball violation",546,""," ","Cardinals",17,12,"Opp","vsLOU",30
1,"9:06","Cavaliers lineup change (Andrew Rohde, Reece Beekman, Isaac McKneely, Ryan Dunn, Jacob Groves)",546,"Cav Sub"," ","Cavaliers",17,12,"Opp","vsLOU",30
1,"8:59","Cardinals lineup change (Mike James, Ty-Laur Johnson, Brandon Huntley-Hatfield, Danilo Jovanovich, Skyy Clark)",539,"Opp Sub"," ","Cardinals",17,12,"Opp","vsLOU",30
1,"8:35","Ryan Dunn makes two point layup",515,"Made Two","makes","Ryan Dunn",19,12,"Cavs","vsLOU",31
1,"8:33","Mike James misses three point jump shot",513,"Missed Three","misses","Mike James",19,12,"Cavs","vsLOU",31
1,"8:16","Jacob Groves defensive rebound",496,"Def Rebound","defensive rebound","Jacob Groves",19,12,"Opp","vsLOU",32
1,"8:14","Jacob Groves misses three point jump shot",494,"Missed Three","misses","Jacob Groves",19,12,"Opp","vsLOU",32
1,"8:07","Skyy Clark defensive rebound",487,"Def Rebound","defensive rebound","Skyy Clark",19,12,"Cavs","vsLOU",33
1,"8:05","Skyy Clark misses three point jump shot",485,"Missed Three","misses","Skyy Clark",19,12,"Cavs","vsLOU",33
1,"8:00","Danilo Jovanovich offensive rebound",480,"Off Rebound","offensive rebound","Danilo Jovanovich",19,12,"Cavs","vsLOU",33
1,"7:44","Danilo Jovanovich makes two point putback layup",464,"Made Two","makes","Danilo Jovanovich",19,14,"Opp","vsLOU",34
1,"7:23","Andrew Rohde makes three point jump shot (Ryan Dunn assists)",443,"Made Three","makes","Andrew Rohde",22,14,"Cavs","vsLOU",35
1,"7:21","Danilo Jovanovich misses three point jump shot",441,"Missed Three","misses","Danilo Jovanovich",22,14,"Cavs","vsLOU",35
1,"7:06","Ryan Dunn defensive rebound",426,"Def Rebound","defensive rebound","Ryan Dunn",22,14,"Opp","vsLOU",36
1,"7:04","Brandon Huntley-Hatfield blocks Andrew Rohde's two point driving layup",424,"Block","block","Brandon Huntley-Hatfield",22,14,"Opp","vsLOU",36
1,"7:02","Ryan Dunn offensive rebound",422,"Off Rebound","offensive rebound","Ryan Dunn",22,14,"Opp","vsLOU",36
1,"6:48","Ryan Dunn makes two point putback layup",408,"Made Two","makes","Ryan Dunn",24,14,"Cavs","vsLOU",37
1,"6:47","Isaac McKneely personal foul (Ty-Laur Johnson draws the foul)",407,"Foul","personal foul","Isaac McKneely",24,14,"Cavs","vsLOU",37
1,"6:47","TV timeout",407,""," ","TV",24,14,"Cavs","vsLOU",37
1,"6:47","Cavaliers lineup change (Reece Beekman, Andrew Rohde, Blake Buchanan, Ryan Dunn, Jacob Groves)",407,"Cav Sub"," ","Cavaliers",24,14,"Cavs","vsLOU",37
1,"6:40","Cardinals lineup change (Mike James, Ty-Laur Johnson, Brandon Huntley-Hatfield, Kaleb Glenn, Skyy Clark)",400,"Opp Sub"," ","Cardinals",24,14,"Cavs","vsLOU",37
1,"6:14","Ty-Laur Johnson makes two point driving hook shot",374,"Made Two","makes","Ty-Laur Johnson",24,16,"Opp","vsLOU",38
1,"6:12","Andrew Rohde misses three point jump shot",372,"Missed Three","misses","Andrew Rohde",24,16,"Opp","vsLOU",38
1,"6:01","Jacob Groves offensive rebound",361,"Off Rebound","offensive rebound","Jacob Groves",24,16,"Opp","vsLOU",38
1,"5:59","Blake Buchanan misses two point hook shot",359,"Missed Two","misses","Blake Buchanan",24,16,"Opp","vsLOU",38
1,"5:45","Skyy Clark defensive rebound",345,"Def Rebound","defensive rebound","Skyy Clark",24,16,"Cavs","vsLOU",39
1,"5:43","Ty-Laur Johnson misses two point stepback jump shot",343,"Missed Two","misses","Ty-Laur Johnson",24,16,"Cavs","vsLOU",39
1,"5:33","Blake Buchanan defensive rebound",333,"Def Rebound","defensive rebound","Blake Buchanan",24,16,"Opp","vsLOU",40
1,"5:33","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Elijah Gertrude, Ryan Dunn, Jacob Groves)",333,"Cav Sub"," ","Cavaliers",24,16,"Opp","vsLOU",40
1,"5:20","Cardinals lineup change (Mike James, Curtis Williams, Brandon Huntley-Hatfield, Kaleb Glenn, Skyy Clark)",320,"Opp Sub"," ","Cardinals",24,16,"Opp","vsLOU",40
1,"5:15","Elijah Gertrude misses two point pullup jump shot",315,"Missed Two","misses","Elijah Gertrude",24,16,"Opp","vsLOU",40
1,"5:03","Cardinals defensive rebound",303,"Def Rebound","defensive rebound","Cardinals",24,16,"Cavs","vsLOU",41
1,"4:49","Mike James makes two point cutting dunk (Brandon Huntley-Hatfield assists)",289,"Made Two","makes","Mike James",24,18,"Opp","vsLOU",42
1,"4:32","Ryan Dunn makes two point driving layup",272,"Made Two","makes","Ryan Dunn",26,18,"Cavs","vsLOU",43
1,"4:12","Brandon Huntley-Hatfield turnover (bad pass) (Ryan Dunn steals)",252,"Turnover","turnover","Brandon Huntley-Hatfield",26,18,"Opp","vsLOU",44
1,"4:10","Jacob Groves misses two point hook shot",250,"Missed Two","misses","Jacob Groves",26,18,"Opp","vsLOU",44
