"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1830,90,2.95081967213115,1.86885245901639,0.3,0.885245901639344,0.222222222222222,63,36,2,25,41,9,20,26,5,16,10,7.53160655737705,8,2,0,0,0,3,8,2,6,0,2,0,0,2
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",1154,54,2.80762564991334,1.40381282495667,0.12962962962963,0.363951473136915,0.185185185185185,33,26,2,14,28,2,9,17,1,11,5,15.9875043327556,6,1,0,2,2,2,4,0,0,1,4,0,1,3
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",430,22,3.06976744186046,0.976744186046512,0,0,0.272727272727273,13,13,1,5,13,1,5,6,1,4,3,-13.9628372093023,0,1,0,0,0,0,3,0,2,0,0,0,0,1
"Isaac McKneely",1162,55,2.83993115318417,1.85886402753873,0.327272727272727,0.929432013769363,0.254545454545455,39,21,0,15,27,7,16,15,4,11,7,35.2001721170396,18,2,0,0,0,7,11,4,7,0,2,0,0,4
"Jacob Groves",2021,97,2.87976249381494,1.90004948045522,0.164948453608247,0.475012370113805,0.185567010309278,66,50,2,25,43,9,20,26,4,18,9,8.04831271647699,7,1,0,2,2,2,8,1,5,3,6,0,0,3
"Jordan Minor",120,6,3,0,0.5,1.5,0,4,1,0,2,6,0,3,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leon Bond III",475,24,3.03157894736842,1.01052631578947,0.166666666666667,0.505263157894737,0.333333333333333,12,8,1,5,16,2,10,9,1,6,4,27.3269052631579,0,2,0,0,0,0,1,0,0,3,1,1,0,0
"Reece Beekman",1846,89,2.89274106175515,1.52762730227519,0.157303370786517,0.455037919826652,0.179775280898876,58,44,3,22,39,7,16,25,2,16,8,22.1106825568797,11,8,2,2,3,4,7,1,3,0,1,3,0,1
"Ryan Dunn",1862,92,2.96455424274973,1.99785177228786,0.239130434782609,0.708915145005371,0.195652173913043,61,39,2,23,39,8,16,25,4,18,9,28.9995273899033,15,1,1,1,3,7,8,0,0,2,8,1,3,1
"Taine Murray",1095,51,2.79452054794521,1.36986301369863,0.176470588235294,0.493150684931507,0.196078431372549,36,27,2,14,28,5,15,18,3,8,5,33.8150684931507,12,2,0,0,0,5,6,2,3,0,0,1,0,0
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",569,26,2.74165202108963,NA,-0.115384615384615,-0.316344463971881,0.153846153846154,14,17,1,5,15,1,6,8,0,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2399,116,2.90120883701542,NA,0.206896551724138,0.600250104210088,0.206896551724138,77,53,3,30,56,10,26,34,5,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
