"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsMEM",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsMEM",2
1,"19:46","Jump ball. Malcolm Dandridge vs. Ryan Dunn (Malcolm Dandridge gains possession)",1186,"Jump Ball"," ","Jump",0,0,"Opp","vsMEM",3
1,"19:37","Ryan Dunn personal foul",1177,"Foul","personal foul","Ryan Dunn",0,0,"Opp","vsMEM",3
1,"19:03","Jaykwon Walton makes two point layup (Malcolm Dandridge assists)",1143,"Made Two","makes","Jaykwon Walton",0,2,"Cavs","vsMEM",4
1,"19:01","Isaac McKneely misses two point jump shot",1141,"Missed Two","misses","Isaac McKneely",0,2,"Cavs","vsMEM",4
1,"18:48","David Jones defensive rebound",1128,"Def Rebound","defensive rebound","David Jones",0,2,"Opp","vsMEM",5
1,"18:25","David Jones makes three point jump shot",1105,"Made Three","makes","David Jones",0,5,"Cavs","vsMEM",6
1,"18:14","Ryan Dunn turnover (bad pass) (Nicholas Jourdain steals)",1094,"Turnover","turnover","Ryan Dunn",0,5,"Opp","vsMEM",7
1,"18:02","David Jones makes two point layup",1082,"Made Two","makes","David Jones",0,7,"Cavs","vsMEM",8
1,"18:02","Malcolm Dandridge shooting foul (Ryan Dunn draws the foul)",1082,"Foul","shooting foul","Malcolm Dandridge",0,7,"Cavs","vsMEM",8
1,"18:02","Ryan Dunn makes regular free throw 1 of 2",1082,"Made FT","makes","Ryan Dunn",1,7,"Cavs","vsMEM",8
1,"18:02","Ryan Dunn misses regular free throw 2 of 2",1082,"Missed FT","misses","Ryan Dunn",1,7,"Cavs","vsMEM",8
1,"17:39","Malcolm Dandridge defensive rebound",1059,"Def Rebound","defensive rebound","Malcolm Dandridge",1,7,"Opp","vsMEM",9
1,"17:37","Nicholas Jourdain misses three point jump shot",1057,"Missed Three","misses","Nicholas Jourdain",1,7,"Opp","vsMEM",9
1,"17:24","Andrew Rohde defensive rebound",1044,"Def Rebound","defensive rebound","Andrew Rohde",1,7,"Cavs","vsMEM",10
