"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1312,81,3.70426829268293,-0.0457317073170732,-0.333333333333333,-1.23475609756098,0.148148148148148,25,52,10,11,35,2,12,20,3,20,6,-3.62881097560975,0,4,1,0,0,0,5,0,4,0,2,1,0,3
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",348,19,3.27586206896552,0,-0.315789473684211,-1.03448275862069,0,5,11,4,2,5,1,3,5,1,3,0,-10.9213793103448,0,1,1,0,0,0,1,0,0,0,2,0,0,2
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",655,37,3.38931297709924,0.916030534351145,-0.108108108108108,-0.366412213740458,0.27027027027027,16,20,7,7,12,2,4,10,3,4,5,-3.60723664122138,4,0,3,0,1,2,5,0,1,0,1,2,0,2
"Isaac McKneely",1952,110,3.38114754098361,0.614754098360656,-0.136363636363636,-0.461065573770492,0.218181818181818,44,59,13,17,41,4,14,25,10,20,12,-4.60269467213115,6,2,4,4,4,1,8,0,5,0,1,0,0,1
