"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsMORG",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsMORG",2
1,"19:40","Allen Udemadu vs. Ryan Dunn (Isaac McKneely gains possession)",1180,""," ","Allen",0,0,"Cavs","vsMORG",3
1,"19:38","Isaac McKneely misses three point jump shot",1178,"Missed Three","misses","Isaac McKneely",0,0,"Cavs","vsMORG",3
1,"19:27","Jacob Groves offensive rebound",1167,"Off Rebound","offensive rebound","Jacob Groves",0,0,"Cavs","vsMORG",3
1,"19:25","Andrew Rohde misses three point jump shot",1165,"Missed Three","misses","Andrew Rohde",0,0,"Cavs","vsMORG",3
1,"19:09","Allen Udemadu defensive rebound",1149,"Def Rebound","defensive rebound","Allen Udemadu",0,0,"Opp","vsMORG",4
1,"18:49","Allen Udemadu turnover (bad pass) (Andrew Rohde steals)",1129,"Turnover","turnover","Allen Udemadu",0,0,"Cavs","vsMORG",5
1,"18:26","Jacob Groves makes three point jump shot (Andrew Rohde assists)",1106,"Made Three","makes","Jacob Groves",3,0,"Opp","vsMORG",6
1,"18:09","Kamron Hobbs turnover (bad pass) (Ryan Dunn steals)",1089,"Turnover","turnover","Kamron Hobbs",3,0,"Cavs","vsMORG",7
1,"18:07","Jacob Groves misses two point jump shot",1087,"Missed Two","misses","Jacob Groves",3,0,"Cavs","vsMORG",7
1,"17:58","Allen Udemadu defensive rebound",1078,"Def Rebound","defensive rebound","Allen Udemadu",3,0,"Opp","vsMORG",8
1,"17:56","Ahmarie Simpkins misses two point layup",1076,"Missed Two","misses","Ahmarie Simpkins",3,0,"Opp","vsMORG",8
1,"17:39","Ryan Dunn defensive rebound",1059,"Def Rebound","defensive rebound","Ryan Dunn",3,0,"Cavs","vsMORG",9
1,"17:37","Jacob Groves misses two point layup",1057,"Missed Two","misses","Jacob Groves",3,0,"Cavs","vsMORG",9
1,"17:24","Ahmarie Simpkins defensive rebound",1044,"Def Rebound","defensive rebound","Ahmarie Simpkins",3,0,"Opp","vsMORG",10
1,"17:01","Kamron Hobbs makes two point jump shot",1021,"Made Two","makes","Kamron Hobbs",3,2,"Cavs","vsMORG",11
1,"16:30","Reece Beekman makes two point jump shot",990,"Made Two","makes","Reece Beekman",5,2,"Opp","vsMORG",12
1,"16:28","Kamron Hobbs misses two point jump shot",988,"Missed Two","misses","Kamron Hobbs",5,2,"Opp","vsMORG",12
1,"16:17","Andrew Rohde defensive rebound",977,"Def Rebound","defensive rebound","Andrew Rohde",5,2,"Cavs","vsMORG",13
1,"15:58","Andrew Rohde makes three point jump shot (Reece Beekman assists)",958,"Made Three","makes","Andrew Rohde",8,2,"Opp","vsMORG",14
1,"15:56","Ryan Dunn blocks Rob Lawson's two point layup",956,"Block","block","Ryan Dunn",8,2,"Opp","vsMORG",14
1,"15:55","Trent Edwards offensive rebound",955,"Off Rebound","offensive rebound","Trent Edwards",8,2,"Opp","vsMORG",14
1,"15:55","Trent Edwards makes two point layup",955,"Made Two","makes","Trent Edwards",8,4,"Opp","vsMORG",14
1,"15:55","Jacob Groves shooting foul (Trent Edwards draws the foul)",955,"Foul","shooting foul","Jacob Groves",8,4,"Opp","vsMORG",14
1,"15:55","TV timeout",955,""," ","TV",8,4,"Opp","vsMORG",14
1,"15:55","Bears lineup change (Kamron Hobbs, Rob Lawson, Ahmarie Simpkins, Trent Edwards, Christian Oliver)",955,"Opp Sub"," ","Bears",8,4,"Opp","vsMORG",14
1,"15:55","Cavaliers lineup change (Reece Beekman, Andrew Rohde, Isaac McKneely, Ryan Dunn, Blake Buchanan)",955,"Cav Sub"," ","Cavaliers",8,4,"Opp","vsMORG",14
1,"15:27","Trent Edwards makes regular free throw 1 of 1",927,"Made FT","makes","Trent Edwards",8,5,"Cavs","vsMORG",15
1,"14:59","Reece Beekman makes two point jump shot",899,"Made Two","makes","Reece Beekman",10,5,"Opp","vsMORG",16
1,"14:57","Rob Lawson misses two point jump shot",897,"Missed Two","misses","Rob Lawson",10,5,"Opp","vsMORG",16
1,"14:46","Ryan Dunn defensive rebound",886,"Def Rebound","defensive rebound","Ryan Dunn",10,5,"Cavs","vsMORG",17
1,"14:44","Andrew Rohde misses two point jump shot",884,"Missed Two","misses","Andrew Rohde",10,5,"Cavs","vsMORG",17
1,"14:33","Rob Lawson defensive rebound",873,"Def Rebound","defensive rebound","Rob Lawson",10,5,"Opp","vsMORG",18
1,"14:32","Rob Lawson misses two point jump shot",872,"Missed Two","misses","Rob Lawson",10,5,"Opp","vsMORG",18
1,"14:32","Christian Oliver offensive rebound",872,"Off Rebound","offensive rebound","Christian Oliver",10,5,"Opp","vsMORG",18
1,"14:31","Christian Oliver misses two point layup",871,"Missed Two","misses","Christian Oliver",10,5,"Opp","vsMORG",18
1,"14:31","Bears offensive rebound",871,"Off Rebound","offensive rebound","Bears",10,5,"Opp","vsMORG",18
1,"14:31","Bears lineup change (Kamron Hobbs, Rob Lawson, Allen Udemadu, Trent Edwards, Christian Oliver)",871,"Opp Sub"," ","Bears",10,5,"Opp","vsMORG",18
1,"14:11","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Andrew Rohde, Taine Murray, Ryan Dunn)",851,"Cav Sub"," ","Cavaliers",10,5,"Opp","vsMORG",18
1,"14:11","Bears turnover (shot clock violation)",851,"Turnover","turnover","Bears",10,5,"Cavs","vsMORG",19
1,"13:58","Bears lineup change (Marvin Brimage, Rob Lawson, Trent Edwards, Christian Oliver, Allen Udemadu)",838,"Opp Sub"," ","Bears",10,5,"Cavs","vsMORG",19
1,"13:37","Andrew Rohde makes two point layup",817,"Made Two","makes","Andrew Rohde",12,5,"Opp","vsMORG",20
1,"13:13","Allen Udemadu turnover (traveling)",793,"Turnover","turnover","Allen Udemadu",12,5,"Cavs","vsMORG",21
1,"13:11","Blake Buchanan misses two point hook shot",791,"Missed Two","misses","Blake Buchanan",12,5,"Cavs","vsMORG",21
1,"13:11","Cavaliers offensive rebound",791,"Off Rebound","offensive rebound","Cavaliers",12,5,"Cavs","vsMORG",21
1,"13:11","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Andrew Rohde, Taine Murray, Leon Bond III)",791,"Cav Sub"," ","Cavaliers",12,5,"Cavs","vsMORG",21
1,"13:03","Bears lineup change (Kamron Hobbs, Trent Edwards, Marvin Brimage, Ahmarie Simpkins, Allen Udemadu)",783,"Opp Sub"," ","Bears",12,5,"Cavs","vsMORG",21
1,"12:52","Reece Beekman makes two point jump shot",772,"Made Two","makes","Reece Beekman",14,5,"Opp","vsMORG",22
1,"12:39","Allen Udemadu turnover (bad pass) (Taine Murray steals)",759,"Turnover","turnover","Allen Udemadu",14,5,"Cavs","vsMORG",23
1,"12:20","Cavaliers lineup change (Blake Buchanan, Isaac McKneely, Andrew Rohde, Taine Murray, Leon Bond III)",740,"Cav Sub"," ","Cavaliers",14,5,"Cavs","vsMORG",23
1,"12:18","Taine Murray misses three point jump shot",738,"Missed Three","misses","Taine Murray",14,5,"Cavs","vsMORG",23
1,"12:12","Cavaliers offensive rebound",732,"Off Rebound","offensive rebound","Cavaliers",14,5,"Cavs","vsMORG",23
1,"12:10","Blake Buchanan misses two point hook shot",730,"Missed Two","misses","Blake Buchanan",14,5,"Cavs","vsMORG",23
1,"11:49","Ahmarie Simpkins defensive rebound",709,"Def Rebound","defensive rebound","Ahmarie Simpkins",14,5,"Opp","vsMORG",24
1,"11:47","Blake Buchanan blocks Allen Udemadu's two point jump shot",707,"Block","block","Blake Buchanan",14,5,"Opp","vsMORG",24
1,"11:30","Leon Bond III defensive rebound",690,"Def Rebound","defensive rebound","Leon Bond III",14,5,"Cavs","vsMORG",25
1,"11:28","Leon Bond III misses two point layup",688,"Missed Two","misses","Leon Bond III",14,5,"Cavs","vsMORG",25
1,"11:27","Blake Buchanan offensive rebound",687,"Off Rebound","offensive rebound","Blake Buchanan",14,5,"Cavs","vsMORG",25
1,"11:27","Trent Edwards shooting foul (Blake Buchanan draws the foul)",687,"Foul","shooting foul","Trent Edwards",14,5,"Cavs","vsMORG",25
1,"11:27","TV timeout",687,""," ","TV",14,5,"Cavs","vsMORG",25
1,"11:27","Cavaliers lineup change (Reece Beekman, Jacob Groves, Taine Murray, Isaac McKneely, Leon Bond III)",687,"Cav Sub"," ","Cavaliers",14,5,"Cavs","vsMORG",25
1,"11:16","Bears lineup change (Kamron Hobbs, Ahmarie Simpkins, Trent Edwards, Rob Lawson, Christian Oliver)",676,"Opp Sub"," ","Bears",14,5,"Cavs","vsMORG",25
1,"11:14","Leon Bond III misses two point jump shot",674,"Missed Two","misses","Leon Bond III",14,5,"Cavs","vsMORG",25
1,"11:02","Christian Oliver defensive rebound",662,"Def Rebound","defensive rebound","Christian Oliver",14,5,"Opp","vsMORG",26
1,"10:43","Ahmarie Simpkins makes two point layup",643,"Made Two","makes","Ahmarie Simpkins",14,7,"Cavs","vsMORG",27
1,"10:24","Jacob Groves makes three point jump shot (Isaac McKneely assists)",624,"Made Three","makes","Jacob Groves",17,7,"Opp","vsMORG",28
