"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1832,95,3.11135371179039,1.96506550218341,0.357894736842105,1.11353711790393,0.463157894736842,62,28,4,25,50,7,19,27,6,18,22,19.9922816593886,10,4,1,0,0,4,8,2,5,0,5,3,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",784,36,2.75510204081633,1.83673469387755,0.361111111111111,0.994897959183674,0.444444444444444,25,12,1,10,23,3,5,18,5,5,8,2.46505102040816,0,1,1,0,0,0,3,0,0,3,2,0,1,1
"Bryce Walker",67,4,3.58208955223881,5.37313432835821,1.25,4.47761194029851,1,5,0,0,2,3,1,1,3,1,0,2,123.283880597015,3,0,0,0,0,1,1,1,1,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",756,36,2.85714285714286,1.34920634920635,0.222222222222222,0.634920634920635,0.388888888888889,23,15,2,10,22,2,5,15,5,6,7,19.883253968254,4,1,0,0,0,2,3,0,0,1,0,0,2,2
"Isaac McKneely",1523,77,3.03348653972423,1.49704530531845,0.233766233766234,0.709126723571898,0.415584415584416,45,27,2,17,40,7,18,20,7,18,16,13.9973736047275,6,4,0,0,0,2,7,2,6,0,2,2,0,0
