"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsNCAT",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Blake Buchanan)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsNCAT",2
1,"19:45","Nikolaos Chitikoudis vs. Blake Buchanan (Cavaliers gains possession)",1185,""," ","Nikolaos",0,0,"Cavs","vsNCAT",3
1,"19:22","Ryan Dunn makes two point layup (Andrew Rohde assists)",1162,"Made Two","makes","Ryan Dunn",2,0,"Opp","vsNCAT",4
1,"18:59","Nikolaos Chitikoudis makes two point hook shot",1139,"Made Two","makes","Nikolaos Chitikoudis",2,2,"Cavs","vsNCAT",5
1,"18:35","Andrew Rohde makes two point layup",1115,"Made Two","makes","Andrew Rohde",4,2,"Opp","vsNCAT",6
1,"18:33","Jeremy Robinson misses three point jump shot",1113,"Missed Three","misses","Jeremy Robinson",4,2,"Opp","vsNCAT",6
1,"18:22","Ryan Dunn defensive rebound",1102,"Def Rebound","defensive rebound","Ryan Dunn",4,2,"Cavs","vsNCAT",7
1,"18:20","Reece Beekman misses two point jump shot",1100,"Missed Two","misses","Reece Beekman",4,2,"Cavs","vsNCAT",7
1,"17:56","Evan Joyner defensive rebound",1076,"Def Rebound","defensive rebound","Evan Joyner",4,2,"Opp","vsNCAT",8
1,"17:54","Ryan Dunn blocks Jeremy Robinson's two point layup",1074,"Block","block","Ryan Dunn",4,2,"Opp","vsNCAT",8
1,"17:41","Blake Buchanan defensive rebound",1061,"Def Rebound","defensive rebound","Blake Buchanan",4,2,"Cavs","vsNCAT",9
1,"17:39","Isaac McKneely misses two point jump shot",1059,"Missed Two","misses","Isaac McKneely",4,2,"Cavs","vsNCAT",9
1,"17:32","Nikolaos Chitikoudis defensive rebound",1052,"Def Rebound","defensive rebound","Nikolaos Chitikoudis",4,2,"Opp","vsNCAT",10
1,"17:30","Camian Shell misses three point jump shot",1050,"Missed Three","misses","Camian Shell",4,2,"Opp","vsNCAT",10
1,"17:09","Ryan Dunn defensive rebound",1029,"Def Rebound","defensive rebound","Ryan Dunn",4,2,"Cavs","vsNCAT",11
1,"17:05","Landon Glasper shooting foul (Ryan Dunn draws the foul)",1025,"Foul","shooting foul","Landon Glasper",4,2,"Cavs","vsNCAT",11
1,"17:05","Ryan Dunn makes regular free throw 1 of 2",1025,"Made FT","makes","Ryan Dunn",5,2,"Cavs","vsNCAT",11
1,"16:42","Ryan Dunn makes regular free throw 1 of 1",1002,"Made FT","makes","Ryan Dunn",6,2,"Opp","vsNCAT",12
1,"16:40","Landon Glasper misses two point layup",1000,"Missed Two","misses","Landon Glasper",6,2,"Opp","vsNCAT",12
1,"16:33","Andrew Rohde defensive rebound",993,"Def Rebound","defensive rebound","Andrew Rohde",6,2,"Cavs","vsNCAT",13
1,"16:31","Blake Buchanan misses two point jump shot",991,"Missed Two","misses","Blake Buchanan",6,2,"Cavs","vsNCAT",13
1,"16:16","Jeremy Robinson defensive rebound",976,"Def Rebound","defensive rebound","Jeremy Robinson",6,2,"Opp","vsNCAT",14
1,"16:14","Nikolaos Chitikoudis misses two point layup",974,"Missed Two","misses","Nikolaos Chitikoudis",6,2,"Opp","vsNCAT",14
1,"15:58","Ryan Dunn defensive rebound",958,"Def Rebound","defensive rebound","Ryan Dunn",6,2,"Cavs","vsNCAT",15
1,"15:42","Blake Buchanan makes two point dunk (Reece Beekman assists)",942,"Made Two","makes","Blake Buchanan",8,2,"Opp","vsNCAT",16
1,"15:21","Nikolaos Chitikoudis makes two point jump shot (Camian Shell assists)",921,"Made Two","makes","Nikolaos Chitikoudis",8,4,"Cavs","vsNCAT",17
1,"15:21","Camian Shell personal foul (Blake Buchanan draws the foul)",921,"Foul","personal foul","Camian Shell",8,4,"Cavs","vsNCAT",17
1,"15:09","TV timeout",909,""," ","TV",8,4,"Cavs","vsNCAT",17
1,"14:44","Isaac McKneely makes two point jump shot (Reece Beekman assists)",884,"Made Two","makes","Isaac McKneely",10,4,"Opp","vsNCAT",18
1,"14:44","Blake Buchanan shooting foul (Nikolaos Chitikoudis draws the foul)",884,"Foul","shooting foul","Blake Buchanan",10,4,"Opp","vsNCAT",18
1,"14:44","Nikolaos Chitikoudis misses regular free throw 1 of 2",884,"Missed FT","misses","Nikolaos Chitikoudis",10,4,"Opp","vsNCAT",18
1,"14:44","Nikolaos Chitikoudis misses regular free throw 2 of 2",884,"Missed FT","misses","Nikolaos Chitikoudis",10,4,"Opp","vsNCAT",18
1,"14:44","Cavaliers lineup change (Isaac McKneely,Dante Harris,Andrew Rohde,Ryan Dunn,Jacob Groves)",884,"Cav Sub"," ","Cavaliers",10,4,"Opp","vsNCAT",18
1,"14:21","Jacob Groves defensive rebound",861,"Def Rebound","defensive rebound","Jacob Groves",10,4,"Cavs","vsNCAT",19
1,"14:17","Andrew Rohde turnover (lost ball) (Nikolaos Chitikoudis steals)",857,"Turnover","turnover","Andrew Rohde",10,4,"Opp","vsNCAT",20
1,"13:57","Jacob Groves personal foul (Aggies draws the foul)",837,"Foul","personal foul","Jacob Groves",10,4,"Opp","vsNCAT",20
1,"13:32","Kyle Duke makes two point layup (Evan Joyner assists)",812,"Made Two","makes","Kyle Duke",10,6,"Cavs","vsNCAT",21
1,"13:30","Dante Harris misses two point layup",810,"Missed Two","misses","Dante Harris",10,6,"Cavs","vsNCAT",21
1,"13:24","Ryan Dunn offensive rebound",804,"Off Rebound","offensive rebound","Ryan Dunn",10,6,"Cavs","vsNCAT",21
1,"13:24","Ryan Dunn misses two point layup",804,"Missed Two","misses","Ryan Dunn",10,6,"Cavs","vsNCAT",21
1,"13:24","Ryan Dunn offensive rebound",804,"Off Rebound","offensive rebound","Ryan Dunn",10,6,"Cavs","vsNCAT",21
