"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1393,73,3.14429289303661,1.80904522613065,0.232876712328767,0.732232591529074,0.273972602739726,47,30,3,19,34,3,6,26,1,12,10,10.7626130653266,6,5,2,0,0,3,6,0,2,0,3,0,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",907,50,3.30760749724366,2.05071664829107,0.18,0.595369349503859,0.36,30,21,1,12,22,2,4,12,1,10,9,22.2838147739802,6,2,0,0,0,3,6,0,0,1,2,1,1,2
"Bryce Walker",190,10,3.15789473684211,1.57894736842105,-0.3,-0.947368421052632,0.6,4,7,0,1,3,0,1,1,3,2,3,-12.3757894736842,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",1505,78,3.10963455149502,2.11295681063123,0.282051282051282,0.877076411960133,0.41025641025641,52,30,7,20,33,6,9,27,3,9,16,6.37885714285714,2,3,3,2,4,0,2,0,0,0,5,2,2,1
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",868,47,3.24884792626728,2.07373271889401,0.425531914893617,1.38248847926267,0.170212765957447,35,15,2,13,21,4,5,16,0,6,4,27.1972811059908,8,1,0,0,0,3,4,2,2,0,1,0,1,1
"Jacob Groves",1242,63,3.04347826086957,2.41545893719807,0.396825396825397,1.20772946859903,0.285714285714286,48,23,6,19,29,5,6,26,3,5,9,33.4642512077295,11,2,1,1,2,4,6,2,2,3,6,1,1,1
"Jordan Minor",731,39,3.20109439124487,1.3953488372093,0.0512820512820513,0.164158686730506,0.41025641025641,19,17,5,6,13,0,3,12,4,4,8,15.7569357045144,6,0,1,2,2,2,3,0,0,1,1,0,0,2
"Leon Bond III",1123,62,3.31255565449688,1.97684772929653,0.0806451612903226,0.267141585040071,0.354838709677419,38,33,4,14,25,3,5,17,5,8,11,36.720213713268,16,0,1,0,0,8,10,0,0,2,1,0,1,0
"Reece Beekman",1252,69,3.30670926517572,1.86900958466454,0.217391304347826,0.718849840255591,0.289855072463768,42,27,1,18,34,2,7,22,2,13,10,16.4808785942492,5,7,0,0,0,2,8,1,3,0,4,1,0,0
"Ryan Dunn",1273,65,3.06362922230951,2.1681068342498,0.369230769230769,1.1311861743912,0.307692307692308,42,18,4,17,30,3,7,25,1,10,10,48.130086410055,13,1,0,5,6,4,5,0,0,4,7,2,3,1
"Taine Murray",1351,69,3.06439674315322,1.37675795706884,0.173913043478261,0.532938564026647,0.347826086956522,39,27,7,15,28,2,6,25,5,9,12,13.1271650629164,7,1,0,2,2,2,4,1,2,0,0,0,1,1
"Tristan How",145,10,4.13793103448276,2.06896551724138,-0.3,-1.24137931034483,0.6,4,7,0,1,3,0,1,1,2,2,3,-7.10648275862069,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Without Andrew Rohde",1003,54,3.23030907278166,NA,0.222222222222222,0.717846460618146,0.407407407407407,33,21,5,12,21,3,6,16,5,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2396,127,3.18030050083472,NA,0.228346456692913,0.726210350584307,0.330708661417323,80,51,8,31,55,6,12,42,6,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1489,77,3.10275352585628,NA,0.25974025974026,0.805910006715917,0.311688311688312,50,30,7,19,33,4,8,30,5,8,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2206,117,3.18223028105168,NA,0.273504273504274,0.870353581142339,0.307692307692308,76,44,8,30,52,6,11,41,3,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2396,127,3.18030050083472,NA,0.228346456692913,0.726210350584307,0.330708661417323,80,51,8,31,55,6,12,42,6,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2396,127,3.18030050083472,NA,0.228346456692913,0.726210350584307,0.330708661417323,80,51,8,31,55,6,12,42,6,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",891,49,3.2996632996633,NA,0.142857142857143,0.471380471380471,0.204081632653061,28,21,1,11,22,0,3,15,3,9,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2396,127,3.18030050083472,NA,0.228346456692913,0.726210350584307,0.330708661417323,80,51,8,31,55,6,12,42,6,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",2396,127,3.18030050083472,NA,0.228346456692913,0.726210350584307,0.330708661417323,80,51,8,31,55,6,12,42,6,18,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",1528,80,3.1413612565445,NA,0.1125,0.353403141361257,0.425,45,36,6,18,34,2,7,26,6,12,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",1154,64,3.32755632582322,NA,0.0625,0.207972270363951,0.375,32,28,2,12,26,1,6,16,3,13,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",1665,88,3.17117117117117,NA,0.306818181818182,0.972972972972973,0.295454545454545,61,34,3,25,42,6,9,30,2,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",1273,65,3.06362922230951,NA,0.369230769230769,1.1311861743912,0.307692307692308,42,18,4,17,30,3,7,25,1,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Reece Beekman",1144,58,3.04195804195804,NA,0.241379310344828,0.734265734265734,0.379310344827586,38,24,7,13,21,4,5,20,4,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Ryan Dunn",1123,62,3.31255565449688,NA,0.0806451612903226,0.267141585040071,0.354838709677419,38,33,4,14,25,3,5,17,5,8,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Taine Murray",1045,58,3.33014354066986,NA,0.293103448275862,0.976076555023923,0.310344827586207,41,24,1,16,27,4,6,17,1,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Tristan How",2251,117,3.11861394935584,NA,0.273504273504274,0.852954242558863,0.307692307692308,76,44,8,30,52,6,11,41,4,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
