"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsNCCU",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsNCCU",2
1,"19:41","Perry Smith Jr. vs. Jacob Groves (Eagles gains possession)",1181,""," ","Perry",0,0,"Opp","vsNCCU",3
1,"19:39","Cobey Harraway misses three point jump shot",1179,"Missed Three","misses","Cobey Harraway",0,0,"Opp","vsNCCU",3
1,"19:16","Isaac McKneely defensive rebound",1156,"Def Rebound","defensive rebound","Isaac McKneely",0,0,"Cavs","vsNCCU",4
1,"19:14","Reece Beekman misses three point jump shot",1154,"Missed Three","misses","Reece Beekman",0,0,"Cavs","vsNCCU",4
1,"18:56","Perry Smith Jr. defensive rebound",1136,"Def Rebound","defensive rebound","Perry Smith Jr.",0,0,"Opp","vsNCCU",5
1,"18:50","Josh Smith turnover (bad pass) (Ryan Dunn steals)",1130,"Turnover","turnover","Josh Smith",0,0,"Cavs","vsNCCU",6
1,"18:28","Isaac McKneely makes three point jump shot (Ryan Dunn assists)",1108,"Made Three","makes","Isaac McKneely",3,0,"Opp","vsNCCU",7
1,"18:26","Josh Smith misses three point jump shot",1106,"Missed Three","misses","Josh Smith",3,0,"Opp","vsNCCU",7
1,"18:17","Reece Beekman defensive rebound",1097,"Def Rebound","defensive rebound","Reece Beekman",3,0,"Cavs","vsNCCU",8
1,"17:58","Isaac McKneely makes three point jump shot (Andrew Rohde assists)",1078,"Made Three","makes","Isaac McKneely",6,0,"Opp","vsNCCU",9
1,"17:37","Josh Smith makes two point jump shot",1057,"Made Two","makes","Josh Smith",6,2,"Cavs","vsNCCU",10
1,"17:17","Isaac McKneely makes three point jump shot (Andrew Rohde assists)",1037,"Made Three","makes","Isaac McKneely",9,2,"Opp","vsNCCU",11
