"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",2396,127,3.18030050083472,1.60267111853088,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,4.70727045075125,3,6,1,0,2,1,4,1,3,0,1,0,1,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",0,0,NA,Inf,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,9,1,1,1,2,4,6,0,0,3,3,2,1,2
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,13,1,0,0,0,6,11,1,5,0,0,0,0,4
"Isaac McKneely",2396,127,3.18030050083472,1.62771285475793,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,24.6293739565943,22,1,0,0,0,8,11,6,8,0,2,0,1,0
"Jacob Groves",2396,127,3.18030050083472,1.60267111853088,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,1.43346410684474,2,2,0,0,0,1,3,0,2,0,1,0,0,2
"Jordan Minor",0,0,NA,Inf,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,-Inf,0,2,2,0,0,0,3,0,0,0,3,0,0,2
"Leon Bond III",0,0,NA,Inf,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,14,3,0,1,2,6,8,1,1,1,8,0,2,3
"Reece Beekman",2396,127,3.18030050083472,1.67779632721202,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,16.2013522537563,8,4,0,2,2,3,6,0,2,0,4,4,0,0
"Ryan Dunn",2396,127,3.18030050083472,1.72787979966611,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,12.4845075125209,6,2,0,0,0,3,3,0,0,1,5,1,1,2
"Taine Murray",0,0,NA,Inf,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,0,1,1,0,0,0,0,0,0,0,4,0,0,2
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,Inf,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",2396,127,3.18030050083472,NA,0.236220472440945,0.751252086811352,0.236220472440945,77,47,5,32,56,9,21,41,7,23,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
