"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsNCST",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsNCST",2
1,"19:30","Blake Buchanan vs. D.J. Burns Jr. (Jayden Taylor gains possession)",1170,""," ","Blake",0,0,"Opp","vsNCST",3
1,"19:28","Jayden Taylor misses three point jump shot",1168,"Missed Three","misses","Jayden Taylor",0,0,"Opp","vsNCST",3
1,"19:07","Cavaliers defensive rebound",1147,"Def Rebound","defensive rebound","Cavaliers",0,0,"Cavs","vsNCST",4
1,"19:05","Isaac McKneely misses two point jump shot",1145,"Missed Two","misses","Isaac McKneely",0,0,"Cavs","vsNCST",4
1,"18:35","D.J. Burns Jr. defensive rebound",1115,"Def Rebound","defensive rebound","D.J. Burns Jr.",0,0,"Opp","vsNCST",5
1,"18:33","Casey Morsell misses three point jump shot",1113,"Missed Three","misses","Casey Morsell",0,0,"Opp","vsNCST",5
1,"18:25","Ryan Dunn defensive rebound",1105,"Def Rebound","defensive rebound","Ryan Dunn",0,0,"Cavs","vsNCST",6
1,"18:14","Isaac McKneely makes three point jump shot (Reece Beekman assists)",1094,"Made Three","makes","Isaac McKneely",3,0,"Opp","vsNCST",7
1,"17:53","Jayden Taylor turnover (lost ball) (Blake Buchanan steals)",1073,"Turnover","turnover","Jayden Taylor",3,0,"Cavs","vsNCST",8
1,"17:48","Isaac McKneely turnover (lost ball) (D.J. Burns Jr. steals)",1068,"Turnover","turnover","Isaac McKneely",3,0,"Opp","vsNCST",9
1,"17:22","Jayden Taylor makes two point layup (D.J. Burns Jr. assists)",1042,"Made Two","makes","Jayden Taylor",3,2,"Cavs","vsNCST",10
1,"17:20","Isaac McKneely misses two point jump shot",1040,"Missed Two","misses","Isaac McKneely",3,2,"Cavs","vsNCST",10
1,"17:06","Casey Morsell defensive rebound",1026,"Def Rebound","defensive rebound","Casey Morsell",3,2,"Opp","vsNCST",11
