"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1857,97,3.13408723747981,0.678513731825525,-0.134020618556701,-0.420032310177706,0.144329896907216,42,55,8,16,39,3,9,24,3,21,7,-5.11327948303716,2,2,3,0,0,1,6,0,3,0,3,0,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",1114,60,3.23159784560144,1.18491921005386,-0.116666666666667,-0.377019748653501,0.2,28,35,5,11,23,1,5,15,3,11,6,11.3114003590664,4,0,0,0,2,2,3,0,0,1,4,1,0,2
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",330,17,3.09090909090909,2.36363636363636,0.529411764705882,1.63636363636364,0,15,6,0,6,9,1,2,6,0,3,0,-7.574,0,0,0,0,0,0,1,0,1,0,1,0,0,1
"Isaac McKneely",1929,102,3.17262830482115,0.590979782270607,-0.294117647058824,-0.933125972006221,0.137254901960784,39,69,8,15,37,4,13,23,4,23,7,15.4813063763608,18,0,3,2,2,6,13,4,7,0,3,2,0,2
"Jacob Groves",1029,49,2.85714285714286,0.466472303206997,-0.224489795918367,-0.641399416909621,0.122448979591837,20,31,2,8,22,1,7,12,4,13,3,-5.55877551020408,2,0,0,0,0,1,6,0,2,0,1,0,0,0
"Jordan Minor",518,27,3.12741312741313,1.85328185328185,0.148148148148148,0.463320463320463,0.0740740740740741,18,14,1,7,12,2,4,8,0,5,1,38.7004633204633,6,0,0,2,2,2,2,0,0,1,2,0,0,0
"Leon Bond III",218,11,3.02752293577982,1.37614678899083,-0.454545454545455,-1.37614678899083,0,8,13,0,4,7,0,0,2,0,2,0,-37.085504587156,0,0,0,0,0,0,3,0,0,0,0,0,0,1
"Reece Beekman",2001,105,3.14842578710645,0.839580209895052,-0.142857142857143,-0.449775112443778,0.133333333333333,50,65,7,18,42,5,14,24,5,23,7,23.8223688155922,12,10,1,4,4,4,6,0,0,0,2,1,0,2
"Ryan Dunn",1909,99,3.11157674174961,0.848611838658984,-0.111111111111111,-0.34573074908329,0.141414141414141,43,54,8,15,37,5,13,25,2,22,7,25.5222839182818,16,1,1,1,3,7,9,1,2,2,5,1,2,2
"Taine Murray",1085,58,3.2073732718894,1.65898617511521,-0.0172413793103448,-0.0552995391705069,0.0689655172413793,37,38,1,15,27,3,8,16,4,12,2,5.17078341013825,0,1,0,0,0,0,2,0,0,1,3,1,0,0
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",541,28,3.10536044362292,NA,-0.107142857142857,-0.33271719038817,0.0714285714285714,18,21,0,7,12,2,6,7,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1284,65,3.03738317757009,NA,-0.138461538461538,-0.420560747663551,0.0615384615384615,32,41,3,12,28,4,10,16,2,16,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",2068,108,3.13346228239845,NA,-0.231481481481481,-0.725338491295938,0.148148148148148,45,70,8,17,42,4,13,25,5,24,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",469,23,2.94243070362473,NA,0.608695652173913,1.7910447761194,0.0869565217391304,21,7,0,8,14,1,2,8,1,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",1369,76,3.3308984660336,NA,-0.0657894736842105,-0.219138056975895,0.131578947368421,40,45,6,15,29,4,8,19,1,14,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",1880,98,3.12765957446809,NA,-0.204081632653061,-0.638297872340426,0.142857142857143,42,62,7,16,39,3,11,23,5,22,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",2180,114,3.13761467889908,NA,-0.0964912280701754,-0.302752293577982,0.140350877192982,52,63,8,19,44,5,15,29,5,25,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Reece Beekman",397,20,3.02267002518892,NA,-0.05,-0.151133501259446,0.1,10,11,1,5,9,0,1,7,0,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Ryan Dunn",489,26,3.19018404907975,NA,-0.192307692307692,-0.613496932515337,0.0769230769230769,17,22,0,8,14,0,2,6,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Taine Murray",1313,67,3.06169078446306,NA,-0.223880597014925,-0.685453160700686,0.17910447761194,23,38,7,8,24,2,7,15,1,15,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Tristan How",2398,125,3.12760633861551,NA,-0.128,-0.400333611342786,0.128,60,76,8,23,51,5,15,31,5,27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
