"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsND",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsND",2
1,"19:35","(Fighting Irish gains possession)",1175,""," ","(Fighting",0,0,"","vsND",2
1,"19:10","J.R. Konieczny makes three point jump shot (Markus Burton assists)",1150,"Made Three","makes","J.R. Konieczny",0,3,"Cavs","vsND",3
1,"19:08","Reece Beekman misses three point jump shot",1148,"Missed Three","misses","Reece Beekman",0,3,"Cavs","vsND",3
1,"18:56","Carey Booth defensive rebound",1136,"Def Rebound","defensive rebound","Carey Booth",0,3,"Opp","vsND",4
1,"18:36","J.R. Konieczny makes three point jump shot (Markus Burton assists)",1116,"Made Three","makes","J.R. Konieczny",0,6,"Cavs","vsND",5
1,"18:34","Andrew Rohde misses two point jump shot",1114,"Missed Two","misses","Andrew Rohde",0,6,"Cavs","vsND",5
1,"18:15","Tae Davis defensive rebound",1095,"Def Rebound","defensive rebound","Tae Davis",0,6,"Opp","vsND",6
1,"18:10","Tae Davis turnover (lost ball) (Jacob Groves steals)",1090,"Turnover","turnover","Tae Davis",0,6,"Cavs","vsND",7
1,"18:08","Ryan Dunn misses two point driving layup",1088,"Missed Two","misses","Ryan Dunn",0,6,"Cavs","vsND",7
1,"17:41","Carey Booth defensive rebound",1061,"Def Rebound","defensive rebound","Carey Booth",0,6,"Opp","vsND",8
1,"17:40","J.R. Konieczny makes three point jump shot (Tae Davis assists)",1060,"Made Three","makes","J.R. Konieczny",0,9,"Cavs","vsND",9
1,"17:20","Fighting Irish lineup change (Carey Booth, Markus Burton, Julian Roper II, Kebba Njie, J.R. Konieczny)",1040,"Opp Sub"," ","Fighting",0,9,"Cavs","vsND",9
1,"17:18","Jacob Groves misses two point layup",1038,"Missed Two","misses","Jacob Groves",0,9,"Cavs","vsND",9
1,"17:08","Kebba Njie defensive rebound",1028,"Def Rebound","defensive rebound","Kebba Njie",0,9,"Opp","vsND",10
1,"17:08","Ryan Dunn shooting foul (Carey Booth draws the foul)",1028,"Foul","shooting foul","Ryan Dunn",0,9,"Opp","vsND",10
1,"17:08","Carey Booth misses regular free throw 1 of 2",1028,"Missed FT","misses","Carey Booth",0,9,"Opp","vsND",10
