"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsNE",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsNE",2
1,"19:45","Chris Doherty vs. Ryan Dunn (Huskies gains possession)",1185,""," ","Chris",0,0,"Opp","vsNE",3
1,"19:20","Jared Turner makes three point jump shot (Joe Pridgen assists)",1160,"Made Three","makes","Jared Turner",0,3,"Cavs","vsNE",4
1,"19:18","Reece Beekman misses two point layup",1158,"Missed Two","misses","Reece Beekman",0,3,"Cavs","vsNE",4
1,"19:13","Joe Pridgen defensive rebound",1153,"Def Rebound","defensive rebound","Joe Pridgen",0,3,"Opp","vsNE",5
1,"18:56","Joe Pridgen misses three point jump shot",1136,"Missed Three","misses","Joe Pridgen",0,3,"Opp","vsNE",5
1,"18:45","Masai Troutman offensive rebound",1125,"Off Rebound","offensive rebound","Masai Troutman",0,3,"Opp","vsNE",5
1,"18:32","Chris Doherty turnover (bad pass) (Reece Beekman steals)",1112,"Turnover","turnover","Chris Doherty",0,3,"Cavs","vsNE",6
1,"18:11","Reece Beekman makes two point stepback jump shot",1091,"Made Two","makes","Reece Beekman",2,3,"Opp","vsNE",7
1,"17:49","Masai Troutman makes three point jump shot (Chris Doherty assists)",1069,"Made Three","makes","Masai Troutman",2,6,"Cavs","vsNE",8
1,"17:47","Andrew Rohde misses two point layup",1067,"Missed Two","misses","Andrew Rohde",2,6,"Cavs","vsNE",8
1,"17:32","Jared Turner defensive rebound",1052,"Def Rebound","defensive rebound","Jared Turner",2,6,"Opp","vsNE",9
1,"17:30","Masai Troutman misses three point jump shot",1050,"Missed Three","misses","Masai Troutman",2,6,"Opp","vsNE",9
1,"17:20","Chris Doherty offensive rebound",1040,"Off Rebound","offensive rebound","Chris Doherty",2,6,"Opp","vsNE",9
1,"17:18","Ryan Dunn blocks Chris Doherty's two point layup",1038,"Block","block","Ryan Dunn",2,6,"Opp","vsNE",9
1,"17:06","Huskies offensive rebound",1026,"Off Rebound","offensive rebound","Huskies",2,6,"Opp","vsNE",9
1,"17:04","Luka Sakota misses three point jump shot",1024,"Missed Three","misses","Luka Sakota",2,6,"Opp","vsNE",9
1,"16:47","Ryan Dunn defensive rebound",1007,"Def Rebound","defensive rebound","Ryan Dunn",2,6,"Cavs","vsNE",10
1,"16:45","Reece Beekman misses two point jump shot",1005,"Missed Two","misses","Reece Beekman",2,6,"Cavs","vsNE",10
1,"16:35","Joe Pridgen defensive rebound",995,"Def Rebound","defensive rebound","Joe Pridgen",2,6,"Opp","vsNE",11
1,"16:35","Jacob Groves shooting foul (Joe Pridgen draws the foul)",995,"Foul","shooting foul","Jacob Groves",2,6,"Opp","vsNE",11
1,"16:35","Joe Pridgen misses regular free throw 1 of 2",995,"Missed FT","misses","Joe Pridgen",2,6,"Opp","vsNE",11
1,"16:35","Joe Pridgen misses regular free throw 2 of 2",995,"Missed FT","misses","Joe Pridgen",2,6,"Opp","vsNE",11
1,"16:19","Cavaliers defensive rebound",979,"Def Rebound","defensive rebound","Cavaliers",2,6,"Cavs","vsNE",12
1,"16:11","Isaac McKneely misses two point jump shot",971,"Missed Two","misses","Isaac McKneely",2,6,"Cavs","vsNE",12
1,"15:56","Joe Pridgen defensive rebound",956,"Def Rebound","defensive rebound","Joe Pridgen",2,6,"Opp","vsNE",13
1,"15:53","Jared Turner misses three point jump shot",953,"Missed Three","misses","Jared Turner",2,6,"Opp","vsNE",13
1,"15:53","Chris Doherty offensive rebound",953,"Off Rebound","offensive rebound","Chris Doherty",2,6,"Opp","vsNE",13
1,"15:35","Chris Doherty makes two point layup",935,"Made Two","makes","Chris Doherty",2,8,"Cavs","vsNE",14
1,"15:35","Jared Turner personal foul",935,"Foul","personal foul","Jared Turner",2,8,"Cavs","vsNE",14
1,"15:35","TV timeout",935,""," ","TV",2,8,"Cavs","vsNE",14
1,"15:35","Cavaliers lineup change (Reece Beekman, Andrew Rohde, Isaac McKneely, Ryan Dunn, Blake Buchanan)",935,"Cav Sub"," ","Cavaliers",2,8,"Cavs","vsNE",14
1,"15:22","Huskies lineup change (Joe Pridgen, Rashad King, Harold Woods, Jared Turner, Chris Doherty)",922,"Opp Sub"," ","Huskies",2,8,"Cavs","vsNE",14
1,"15:20","Andrew Rohde misses three point jump shot",920,"Missed Three","misses","Andrew Rohde",2,8,"Cavs","vsNE",14
1,"15:01","Huskies defensive rebound",901,"Def Rebound","defensive rebound","Huskies",2,8,"Opp","vsNE",15
1,"14:59","Joe Pridgen misses two point layup",899,"Missed Two","misses","Joe Pridgen",2,8,"Opp","vsNE",15
1,"14:39","Harold Woods offensive rebound",879,"Off Rebound","offensive rebound","Harold Woods",2,8,"Opp","vsNE",15
1,"14:11","Joe Pridgen turnover (lost ball) (Blake Buchanan steals)",851,"Turnover","turnover","Joe Pridgen",2,8,"Cavs","vsNE",16
1,"14:09","Isaac McKneely misses three point jump shot",849,"Missed Three","misses","Isaac McKneely",2,8,"Cavs","vsNE",16
1,"14:03","Joe Pridgen defensive rebound",843,"Def Rebound","defensive rebound","Joe Pridgen",2,8,"Opp","vsNE",17
1,"14:03","Joe Pridgen makes two point layup",843,"Made Two","makes","Joe Pridgen",2,10,"Cavs","vsNE",18
1,"13:44","Huskies lineup change (Masai Troutman, Rashad King, Harold Woods, Jared Turner, Chris Doherty)",824,"Opp Sub"," ","Huskies",2,10,"Cavs","vsNE",18
1,"13:42","Reece Beekman misses two point layup",822,"Missed Two","misses","Reece Beekman",2,10,"Cavs","vsNE",18
1,"13:39","Reece Beekman offensive rebound",819,"Off Rebound","offensive rebound","Reece Beekman",2,10,"Cavs","vsNE",18
1,"13:21","Reece Beekman makes two point layup",801,"Made Two","makes","Reece Beekman",4,10,"Opp","vsNE",19
1,"13:05","Masai Troutman makes two point layup (Rashad King assists)",785,"Made Two","makes","Masai Troutman",4,12,"Cavs","vsNE",20
1,"13:01","Isaac McKneely turnover (bad pass) (Rashad King steals)",781,"Turnover","turnover","Isaac McKneely",4,12,"Opp","vsNE",21
1,"12:51","Chris Doherty turnover (bad pass) (Blake Buchanan steals)",771,"Turnover","turnover","Chris Doherty",4,12,"Cavs","vsNE",22
1,"12:51","Rashad King personal foul",771,"Foul","personal foul","Rashad King",4,12,"Cavs","vsNE",22
1,"12:45","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Andrew Rohde, Isaac McKneely, Leon Bond III)",765,"Cav Sub"," ","Cavaliers",4,12,"Cavs","vsNE",22
1,"12:43","Isaac McKneely misses two point jump shot",763,"Missed Two","misses","Isaac McKneely",4,12,"Cavs","vsNE",22
1,"12:29","Harold Woods defensive rebound",749,"Def Rebound","defensive rebound","Harold Woods",4,12,"Opp","vsNE",23
1,"12:14","Harold Woods makes two point layup (Masai Troutman assists)",734,"Made Two","makes","Harold Woods",4,14,"Cavs","vsNE",24
1,"12:14","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Elijah Gertrude, Isaac McKneely, Leon Bond III)",734,"Cav Sub"," ","Cavaliers",4,14,"Cavs","vsNE",24
1,"12:04","Huskies lineup change (Masai Troutman, Rashad King, Harold Woods, Joe Pridgen, Collin Metcalf)",724,"Opp Sub"," ","Huskies",4,14,"Cavs","vsNE",24
1,"12:02","Reece Beekman misses two point jump shot",722,"Missed Two","misses","Reece Beekman",4,14,"Cavs","vsNE",24
1,"11:46","Rashad King defensive rebound",706,"Def Rebound","defensive rebound","Rashad King",4,14,"Opp","vsNE",25
1,"11:20","Joe Pridgen makes two point layup (Collin Metcalf assists)",680,"Made Two","makes","Joe Pridgen",4,16,"Cavs","vsNE",26
1,"11:07","Blake Buchanan makes two point hook shot",667,"Made Two","makes","Blake Buchanan",6,16,"Opp","vsNE",27
1,"10:57","Collin Metcalf turnover (bad pass) (Elijah Gertrude steals)",657,"Turnover","turnover","Collin Metcalf",6,16,"Cavs","vsNE",28
