"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1873,99,3.17138280832888,0.961025093432995,-0.0404040404040404,-0.128136679124399,0.303030303030303,41,45,4,16,40,2,12,23,7,24,15,0.136497597437266,0,6,0,0,1,0,5,0,3,0,2,0,0,1
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",943,51,3.24496288441145,0.127253446447508,-0.313725490196078,-1.01802757158006,0.274509803921569,13,29,3,6,22,0,6,9,2,16,7,16.1702863202545,3,1,0,1,4,1,1,0,0,1,0,2,0,0
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",914,47,3.08533916849015,1.83807439824945,0.25531914893617,0.787746170678337,0.382978723404255,25,13,1,9,19,1,5,10,1,13,9,20.4307221006565,5,0,0,3,5,1,3,0,0,0,5,2,1,1
"Isaac McKneely",2175,113,3.11724137931034,0.993103448275862,-0.0442477876106195,-0.137931034482759,0.300884955752212,47,52,4,19,47,2,14,26,7,29,17,4.15404137931035,8,0,1,0,0,3,11,2,6,1,3,2,0,2
"Jacob Groves",1299,69,3.18706697459584,1.8013856812933,0.217391304347826,0.69284064665127,0.405797101449275,38,23,2,15,27,1,6,17,5,14,14,11.0250346420323,8,0,1,2,2,3,5,0,2,0,1,0,1,2
"Jordan Minor",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Leon Bond III",810,42,3.11111111111111,1.55555555555556,0.285714285714286,0.888888888888889,0.333333333333333,23,11,0,9,19,1,5,10,1,11,7,16.0054074074074,6,0,0,0,0,3,4,0,0,0,1,0,0,1
"Reece Beekman",2011,106,3.16260566882148,1.22327200397812,-0.0377358490566038,-0.119343610144207,0.339622641509434,46,50,5,19,43,1,11,23,6,25,18,26.5014420686226,21,5,1,3,4,9,18,0,2,2,4,2,0,1
"Ryan Dunn",1746,90,3.09278350515464,1.06529209621993,-0.0777777777777778,-0.240549828178694,0.311111111111111,38,45,5,14,34,2,11,20,6,21,14,7.17415807560137,5,1,2,1,2,2,4,0,1,1,3,0,2,0
"Taine Murray",224,13,3.48214285714286,2.94642857142857,0.538461538461538,1.875,0.615384615384615,9,2,1,3,4,0,0,2,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",526,27,3.07984790874525,NA,0.222222222222222,0.684410646387833,0.444444444444444,15,9,1,6,11,0,2,5,0,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1456,75,3.09065934065934,NA,0.24,0.741758241758242,0.373333333333333,43,25,2,16,29,2,8,19,5,15,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",1485,79,3.19191919191919,NA,-0.126582278481013,-0.404040404040404,0.30379746835443,31,41,4,13,32,1,9,18,6,18,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",224,13,3.48214285714286,NA,0.538461538461538,1.875,0.615384615384615,9,2,1,3,4,0,0,2,0,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",1100,57,3.10909090909091,NA,-0.228070175438596,-0.709090909090909,0.245614035087719,18,31,3,7,24,1,8,11,2,17,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",1589,84,3.17180616740088,NA,-0.119047619047619,-0.377595972309629,0.333333333333333,33,43,5,13,32,1,9,18,6,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Reece Beekman",388,20,3.09278350515464,NA,0.3,0.927835051546392,0.3,10,4,0,3,8,1,3,5,1,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Ryan Dunn",653,36,3.30781010719755,NA,0.25,0.826952526799387,0.388888888888889,18,9,0,8,17,0,3,8,1,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Taine Murray",2175,113,3.11724137931034,NA,-0.0442477876106195,-0.137931034482759,0.300884955752212,47,52,4,19,47,2,14,26,7,29,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Tristan How",2399,126,3.15131304710296,NA,0.0158730158730159,0.0500208420175073,0.333333333333333,56,54,5,22,51,2,14,28,7,31,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
