"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls","Pt_dif","adjusted_plusminus"
"Andrew Rohde",12494,657,3.15511445493837,1.35425004001921,0.0684931506849315,0.00360172882983832,0.350076103500761,333,288,42,119,263,36,100,160,115,7.25827597246679,49,18,11,3,6,19,46,8,23,1,19,3,0,4,45,27
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63
"Blake Buchanan",6939,363,3.13878080415045,1.39213143104194,0.0771349862258953,0.0040351635682375,0.369146005509642,172,144,33,56,126,14,37,100,67,13.3372330306961,32,3,7,16,27,8,17,0,0,12,13,3,9,13,28,-7
"Bryce Walker",358,17,2.84916201117318,1.50837988826816,-0.117647058823529,-0.00558659217877095,0.352941176470588,10,12,0,3,8,1,3,6,3,0.380614525139665,1,0,0,1,2,0,1,0,1,0,1,0,0,0,-2,-52
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-63
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63
"Dante Harris",7043,357,3.04131762033224,1.30342183728525,0.0476190476190476,0.00241374414312083,0.34733893557423,175,158,31,61,129,13,34,97,62,6.17245208007952,21,8,7,7,12,6,20,2,5,1,14,6,2,7,17,-29
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-63
"Elijah Gertrude",436,20,2.75229357798165,0,-0.05,-0.00229357798165138,0.5,5,6,6,2,7,1,3,6,5,-0.339495412844037,0,0,0,0,0,0,1,0,1,0,1,0,1,1,-1,-65
"Isaac McKneely",9287,480,3.10110907720469,1.24690427479272,0.0604166666666667,0.00312264455690751,0.3125,238,209,35,86,189,27,75,116,75,11.5399892322602,59,10,8,8,10,19,48,13,27,0,18,3,2,8,29,-5
"Jacob Groves",8178,410,3.00807043286867,1.54805575935437,0.0853658536585366,0.00427977500611396,0.336585365853659,233,198,21,86,173,27,69,95,69,14.7698459280998,51,7,2,6,7,19,38,7,18,5,12,3,1,12,35,7
"Jordan Minor",2354,127,3.23704333050127,1.2999150382328,0.110236220472441,0.00594732370433305,0.346456692913386,59,45,13,18,45,2,10,45,22,12.7129906542056,10,1,2,2,2,4,6,0,0,6,4,0,1,7,14,-35
"Leon Bond III",6082,298,2.93982242683328,1.24301216705031,0.0369127516778524,0.00180861558697797,0.308724832214765,149,138,22,55,125,11,39,89,46,23.9495001644196,46,3,2,4,6,21,34,0,1,13,10,6,2,4,11,-41
"Reece Beekman",12748,668,3.1440225917791,1.35550674615626,0.0449101796407186,0.00235331032318795,0.353293413173653,334,304,41,117,263,34,101,159,118,20.9040461248823,83,40,11,15,20,31,71,6,22,2,21,21,7,9,30,-3
"Ryan Dunn",11495,607,3.16833405828621,1.59199652022619,0.085667215815486,0.00452370595911266,0.365733113673806,311,259,37,111,238,31,93,144,111,25.2279043062201,74,6,4,22,31,24,45,4,17,11,36,19,20,13,52,41
"Taine Murray",4240,210,2.97169811320755,1.45754716981132,0.261904761904762,0.0129716981132075,0.380952380952381,118,63,15,43,88,6,22,75,40,5.61529245283019,16,2,3,4,6,5,11,2,5,0,5,0,1,4,55,47
"Tristan How",449,26,3.47438752783964,1.73719376391982,0.115384615384615,0.0066815144766147,0.307692307692308,16,13,0,4,11,1,3,10,4,-18.0058797327394,0,0,0,0,0,0,3,0,1,0,0,0,0,1,3,-57
"Without Andrew Rohde",4288,212,2.96641791044776,NA,0.0849056603773585,0.00419776119402985,0.330188679245283,109,91,18,37,78,6,21,65,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA
"Without Anthony Robinson",16782,869,3.10690025026814,NA,0.0724971231300345,0.00375402216660708,0.345224395857307,442,379,60,156,341,42,121,225,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"Without Blake Buchanan",9843,506,3.08442548003657,NA,0.0691699604743083,0.00355582647566799,0.328063241106719,270,235,27,100,215,28,84,125,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA
"Without Bryce Walker",11629,588,3.03379482328661,NA,0.0850340136054422,0.00429959583799123,0.36734693877551,288,238,46,107,239,27,82,149,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,NA
"Without Cavaliers",16782,869,3.10690025026814,NA,0.0724971231300345,0.00375402216660708,0.345224395857307,442,379,60,156,341,42,121,225,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"Without Christian Bliss",16782,869,3.10690025026814,NA,0.0724971231300345,0.00375402216660708,0.345224395857307,442,379,60,156,341,42,121,225,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"Without Dante Harris",9739,512,3.15432795974946,NA,0.08984375,0.00472327754389568,0.34375,267,221,29,95,212,29,87,128,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,NA
"Without Desmond Roberts",16782,869,3.10690025026814,NA,0.0724971231300345,0.00375402216660708,0.345224395857307,442,379,60,156,341,42,121,225,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,NA
"Without Elijah Gertrude",16346,849,3.11635874219993,NA,0.0753828032979976,0.00391533096782087,0.341578327444052,437,373,54,154,334,41,118,219,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,NA
"Without Isaac McKneely",7495,389,3.11407605070047,NA,0.0874035989717224,0.00453635757171448,0.38560411311054,204,170,25,70,152,15,46,109,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA
"Without Jacob Groves",8604,459,3.20083682008368,NA,0.0610021786492375,0.00325430032543003,0.352941176470588,209,181,39,70,168,15,52,130,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA
"Without Jordan Minor",14428,742,3.08566675907957,NA,0.0660377358490566,0.00339617410590518,0.345013477088949,383,334,47,138,296,40,111,180,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA
"Without Leon Bond III",10700,571,3.2018691588785,NA,0.0910683012259194,0.00485981308411215,0.364273204903678,293,241,38,101,216,31,82,136,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"Without Reece Beekman",4034,201,2.98958849776896,NA,0.164179104477612,0.00818046603867129,0.318407960199005,108,75,19,39,78,8,20,66,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,NA
"Without Ryan Dunn",5287,262,2.97333081142425,NA,0.0419847328244275,0.00208057499527142,0.297709923664122,131,120,23,45,103,11,28,81,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA
"Without Taine Murray",12542,659,3.15260723967469,NA,0.0121396054628225,0.000637856801148142,0.333839150227618,324,316,45,113,253,36,99,150,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA
"Without Tristan How",16333,843,3.09679789383457,NA,0.0711743772241993,0.00367354435804812,0.34638196915777,426,366,60,152,330,41,118,215,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA
