"Lineup","On_court_time","Possessions","Pt_diff_perposs","Pt_diff_permin","poss_permin","efficiency","def_eff","Pts","Pts_against","Tnovers","FG_made","FG_att","Three_made","Three_att","Rebounds","Defensive_plays","Minutes"
"Andrew Rohde,Blake Buchanan,Dante Harris,Isaac McKneely,Jacob Groves",28,1,-2,-0.0714285714285714,2.14285714285714,2.14285714285714,0,1,3,0,0,0,0,0,0,0,0.47
"Andrew Rohde,Blake Buchanan,Dante Harris,Isaac McKneely,Leon Bond III",183,8,-0.125,-0.00546448087431694,2.62295081967213,1.63934426229508,0,4,5,1,1,1,0,0,2,0,3.05
"Andrew Rohde,Blake Buchanan,Dante Harris,Isaac McKneely,Ryan Dunn",544,28,0.571428571428571,0.0294117647058824,3.08823529411765,3.30882352941176,0.142857142857143,23,7,1,10,14,2,2,10,2,9.07
"Andrew Rohde,Blake Buchanan,Dante Harris,Jacob Groves,Reece Beekman",124,6,-1.16666666666667,-0.0564516129032258,2.90322580645161,-0.967741935483871,0,0,7,1,0,1,0,1,0,0,2.07
"Andrew Rohde,Blake Buchanan,Dante Harris,Leon Bond III,Reece Beekman",229,12,0.0833333333333333,0.00436681222707424,3.14410480349345,1.57205240174672,0.5,5,4,3,2,4,1,1,3,3,3.82
"Andrew Rohde,Blake Buchanan,Dante Harris,Leon Bond III,Ryan Dunn",96,6,0,0,3.75,2.5,0.333333333333333,3,3,1,1,2,1,1,2,1,1.6
"Andrew Rohde,Blake Buchanan,Dante Harris,Leon Bond III,Taine Murray",179,5,-0.4,-0.0111731843575419,1.67597765363128,0.335195530726257,0,2,4,1,1,3,0,0,2,0,2.98
"Andrew Rohde,Blake Buchanan,Dante Harris,Reece Beekman,Ryan Dunn",883,51,-0.0196078431372549,-0.00113250283125708,3.46545866364666,2.10645526613817,0.509803921568627,22,23,5,7,16,2,7,10,13,14.72
"Andrew Rohde,Blake Buchanan,Elijah Gertrude,Leon Bond III,Reece Beekman",89,4,0.75,0.0337078651685393,2.69662921348315,2.69662921348315,0.5,3,0,0,1,3,1,1,2,1,1.48
"Andrew Rohde,Blake Buchanan,Isaac McKneely,Jacob Groves,Reece Beekman",294,15,0.0666666666666667,0.00340136054421769,3.06122448979592,2.85714285714286,0,12,11,1,3,5,3,3,5,0,4.9
"Andrew Rohde,Blake Buchanan,Isaac McKneely,Leon Bond III,Reece Beekman",194,9,0.222222222222222,0.0103092783505155,2.78350515463918,1.23711340206186,0.222222222222222,3,1,2,1,4,0,2,5,1,3.23
"Andrew Rohde,Blake Buchanan,Isaac McKneely,Reece Beekman,Ryan Dunn",2353,130,0.115384615384615,0.00637484062898428,3.31491712707182,2.14194645133872,0.415384615384615,59,44,7,18,45,3,14,32,27,39.22
"Andrew Rohde,Blake Buchanan,Jacob Groves,Reece Beekman,Ryan Dunn",149,7,0,0,2.81879194630872,1.20805369127517,1.14285714285714,1,1,2,0,2,0,1,2,4,2.48
"Andrew Rohde,Dante Harris,Isaac McKneely,Jacob Groves,Leon Bond III",115,3,-0.333333333333333,-0.00869565217391304,1.56521739130435,-0.521739130434783,0.666666666666667,0,1,0,0,2,0,0,0,1,1.92
"Andrew Rohde,Dante Harris,Isaac McKneely,Jacob Groves,Ryan Dunn",282,15,0.533333333333333,0.0283687943262411,3.19148936170213,3.19148936170213,0.266666666666667,12,4,2,5,8,2,3,6,2,4.7
"Andrew Rohde,Dante Harris,Isaac McKneely,Leon Bond III,Ryan Dunn",121,8,-0.875,-0.0578512396694215,3.96694214876033,-0.495867768595041,0.25,0,7,1,0,3,0,2,2,1,2.02
"Andrew Rohde,Dante Harris,Jacob Groves,Leon Bond III,Reece Beekman",281,15,-0.666666666666667,-0.0355871886120996,3.20284697508897,1.92170818505338,0.266666666666667,7,17,0,3,7,3,6,4,2,4.68
"Andrew Rohde,Dante Harris,Jacob Groves,Leon Bond III,Taine Murray",193,10,0.4,0.0207253886010363,3.10880829015544,1.86528497409326,0.6,4,0,0,2,5,0,2,2,3,3.22
"Andrew Rohde,Dante Harris,Jacob Groves,Reece Beekman,Ryan Dunn",272,13,-0.230769230769231,-0.0110294117647059,2.86764705882353,0.661764705882353,0.461538461538462,5,8,0,2,8,0,2,1,3,4.53
"Andrew Rohde,Dante Harris,Jacob Groves,Ryan Dunn,Taine Murray",151,7,0.571428571428571,0.0264900662251656,2.78145695364238,3.57615894039735,0.571428571428571,4,0,1,2,2,0,0,4,2,2.52
"Andrew Rohde,Dante Harris,Jordan Minor,Leon Bond III,Taine Murray",183,8,0,0,2.62295081967213,-0.327868852459016,0.25,0,0,1,0,3,0,0,2,1,3.05
"Andrew Rohde,Elijah Gertrude,Isaac McKneely,Jacob Groves,Leon Bond III",130,6,0,0,2.76923076923077,0.461538461538462,1,0,0,3,0,1,0,1,2,3,2.17
"Andrew Rohde,Isaac McKneely,Jacob Groves,Leon Bond III,Reece Beekman",269,13,0.230769230769231,0.0111524163568773,2.8996282527881,2.45353159851301,0.153846153846154,10,7,0,4,7,1,2,3,1,4.48
"Andrew Rohde,Isaac McKneely,Jacob Groves,Leon Bond III,Ryan Dunn",185,9,-0.111111111111111,-0.00540540540540541,2.91891891891892,1.2972972972973,0.444444444444444,2,3,0,1,3,0,2,2,2,3.08
