"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsSYR",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsSYR",2
1,"19:37","Naheem McLeod vs. Ryan Dunn (Orange gains possession)",1177,""," ","Naheem",0,0,"Opp","vsSYR",3
1,"19:35","J.J. Starling misses two point jump shot",1175,"Missed Two","misses","J.J. Starling",0,0,"Opp","vsSYR",3
1,"19:16","Cavaliers defensive rebound",1156,"Def Rebound","defensive rebound","Cavaliers",0,0,"Cavs","vsSYR",4
1,"19:14","Jacob Groves misses two point jump shot",1154,"Missed Two","misses","Jacob Groves",0,0,"Cavs","vsSYR",4
1,"18:54","Naheem McLeod defensive rebound",1134,"Def Rebound","defensive rebound","Naheem McLeod",0,0,"Opp","vsSYR",5
1,"18:38","Naheem McLeod makes two point dunk (Judah Mintz assists)",1118,"Made Two","makes","Naheem McLeod",0,2,"Cavs","vsSYR",6
1,"18:36","Ryan Dunn misses three point jump shot",1116,"Missed Three","misses","Ryan Dunn",0,2,"Cavs","vsSYR",6
1,"18:08","Naheem McLeod defensive rebound",1088,"Def Rebound","defensive rebound","Naheem McLeod",0,2,"Opp","vsSYR",7
1,"17:35","Chris Bell makes three point jump shot (Justin Taylor assists)",1055,"Made Three","makes","Chris Bell",0,5,"Cavs","vsSYR",8
1,"17:26","J.J. Starling personal foul (Isaac McKneely draws the foul)",1046,"Foul","personal foul","J.J. Starling",0,5,"Cavs","vsSYR",8
1,"17:24","Andrew Rohde misses three point jump shot",1044,"Missed Three","misses","Andrew Rohde",0,5,"Cavs","vsSYR",8
1,"17:23","Jacob Groves offensive rebound",1043,"Off Rebound","offensive rebound","Jacob Groves",0,5,"Cavs","vsSYR",8
1,"17:23","Justin Taylor shooting foul (Jacob Groves draws the foul)",1043,"Foul","shooting foul","Justin Taylor",0,5,"Cavs","vsSYR",8
1,"17:23","Jacob Groves misses regular free throw 1 of 2",1043,"Missed FT","misses","Jacob Groves",0,5,"Cavs","vsSYR",8
1,"17:09","Jacob Groves makes regular free throw 2 of 2",1029,"Made FT","makes","Jacob Groves",1,5,"Opp","vsSYR",9
1,"17:07","Judah Mintz misses two point layup",1027,"Missed Two","misses","Judah Mintz",1,5,"Opp","vsSYR",9
