"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1883,102,3.25013276686139,1.84811471056824,0.245098039215686,0.79660116834838,0.294117647058824,65,40,6,24,43,10,17,25,6,14,15,15.078799787573,10,4,1,0,0,4,8,2,4,0,3,1,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",731,41,3.36525307797538,2.29822161422709,0.365853658536585,1.2311901504788,0.341463414634146,30,15,6,10,14,4,6,11,5,2,7,23.5999452804378,6,0,1,2,2,2,2,0,0,1,0,1,0,1
"Bryce Walker",134,10,4.47761194029851,2.23880597014925,-0.6,-2.6865671641791,0,5,11,0,2,2,0,0,2,1,1,0,15.5270149253731,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",1045,61,3.50239234449761,1.09090909090909,0.0655737704918033,0.229665071770335,0.327868852459016,31,27,9,10,24,5,9,17,7,9,10,9.49911961722488,6,1,3,2,2,2,5,0,1,0,1,2,1,1
"Isaac McKneely",1596,81,3.04511278195489,2.29323308270677,0.333333333333333,1.01503759398496,0.345679012345679,58,31,2,22,36,9,15,17,4,11,14,37.1726691729323,22,2,0,0,0,8,11,6,8,0,5,0,0,2
"Jacob Groves",1425,72,3.03157894736842,2.14736842105263,0.319444444444444,0.968421052631579,0.277777777777778,51,28,1,19,31,8,13,16,2,10,10,12.5410947368421,8,1,1,3,4,2,4,1,2,1,2,0,0,1
"Jordan Minor",434,33,4.56221198156682,0.138248847926267,-0.393939393939394,-1.79723502304147,0.181818181818182,9,22,5,3,10,0,2,10,4,6,3,-7.12285714285714,0,0,0,0,0,0,1,0,0,1,0,0,0,3
"Leon Bond III",1088,66,3.63970588235294,1.59926470588235,0.0151515151515152,0.0551470588235294,0.212121212121212,35,34,8,12,23,4,8,19,7,8,7,7.38860294117647,6,2,2,2,2,2,7,0,0,2,4,0,0,2
"Reece Beekman",1553,81,3.12942691564713,2.00901481004507,0.320987654320988,1.00450740502254,0.222222222222222,60,34,5,21,34,9,16,22,5,8,9,34.0692981326465,13,8,0,2,2,5,7,1,1,0,1,1,1,0
"Ryan Dunn",1311,68,3.11212814645309,2.2883295194508,0.308823529411765,0.961098398169336,0.323529411764706,49,28,2,18,30,8,13,15,3,9,11,17.4259496567506,4,2,0,0,0,2,4,0,2,1,3,2,2,3
"Taine Murray",712,47,3.96067415730337,1.26404494382022,-0.106382978723404,-0.421348314606742,0.170212765957447,24,29,6,8,17,3,6,15,5,6,4,26.6962078651685,7,0,1,1,2,2,3,2,3,1,1,1,0,0
"Tristan How",83,8,5.78313253012048,2.89156626506024,-1,-5.78313253012048,0,3,11,0,1,1,0,0,1,1,1,0,75.9101204819277,2,0,0,0,1,1,1,0,0,1,0,0,0,0
"Without Andrew Rohde",516,32,3.72093023255814,NA,-0.09375,-0.348837209302326,0.1875,19,22,4,6,10,2,4,9,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2399,134,3.35139641517299,NA,0.164179104477612,0.55022926219258,0.26865671641791,84,62,10,30,53,12,21,34,10,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1668,93,3.34532374100719,NA,0.0752688172043011,0.251798561151079,0.236559139784946,54,47,4,20,39,8,15,23,5,15,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2265,124,3.28476821192053,NA,0.225806451612903,0.741721854304636,0.290322580645161,79,51,10,28,51,12,21,32,9,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2399,134,3.35139641517299,NA,0.164179104477612,0.55022926219258,0.26865671641791,84,62,10,30,53,12,21,34,10,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2399,134,3.35139641517299,NA,0.164179104477612,0.55022926219258,0.26865671641791,84,62,10,30,53,12,21,34,10,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",2399,134,3.35139641517299,NA,0.164179104477612,0.55022926219258,0.26865671641791,84,62,10,30,53,12,21,34,10,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2399,134,3.35139641517299,NA,0.164179104477612,0.55022926219258,0.26865671641791,84,62,10,30,53,12,21,34,10,17,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",1354,73,3.23485967503693,NA,0.246575342465753,0.797636632200886,0.219178082191781,53,35,1,20,29,7,12,17,3,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",803,53,3.96014943960149,NA,-0.0943396226415094,-0.37359900373599,0.150943396226415,26,31,8,8,17,3,6,17,6,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",974,62,3.81930184804928,NA,-0.0161290322580645,-0.0616016427104723,0.258064516129032,33,34,9,11,22,4,8,18,8,7,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",1965,101,3.08396946564885,NA,0.346534653465347,1.06870229007634,0.297029702970297,75,40,5,27,43,12,19,24,6,11,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",1311,68,3.11212814645309,NA,0.308823529411765,0.961098398169336,0.323529411764706,49,28,2,18,30,8,13,15,3,9,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Reece Beekman",846,53,3.75886524822695,NA,-0.0754716981132075,-0.283687943262411,0.339622641509434,24,28,5,9,19,3,5,12,5,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Ryan Dunn",1088,66,3.63970588235294,NA,0.0151515151515152,0.0551470588235294,0.212121212121212,35,34,8,12,23,4,8,19,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Taine Murray",1687,87,3.09425014819206,NA,0.310344827586207,0.960284528749259,0.32183908045977,60,33,4,22,36,9,15,19,5,11,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Tristan How",2316,126,3.26424870466321,NA,0.238095238095238,0.77720207253886,0.285714285714286,81,51,10,29,52,12,21,33,9,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
