"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls","Minutes","Pt_dif","adjusted_plusminus","Reb_Rate"
"Andrew Rohde",16773,886,3.16937935968521,1.44160257556788,0.112866817155756,0.357717760686818,0.327313769751693,475,375,53,178,366,58,142,227,87,168,145,7.77182972634591,62,28,13,3,8,24,58,11,30,1,23,4,1,4,279.55,100,85,0.0940477895951367
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115,NA
"Blake Buchanan",7670,404,3.16036505867014,1.52542372881356,0.106435643564356,0.336375488917862,0.366336633663366,202,159,39,66,140,18,43,111,49,64,74,18.5952907431552,47,4,9,19,31,14,25,0,0,16,16,6,10,16,127.83,43,-29,0.100570919786658
"Bryce Walker",492,27,3.29268292682927,1.70731707317073,-0.296296296296296,-0.975609756097561,0.222222222222222,15,23,0,5,10,1,3,8,4,5,3,-0.27341463414634,1,1,0,1,2,0,2,0,1,0,1,0,0,0,8.2,-8,-131,0.112994776324575
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,-115,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115,NA
"Dante Harris",7043,355,3.0242794263808,1.29490274030953,0.047887323943662,0.14482464858725,0.349295774647887,175,158,31,63,132,15,37,98,38,63,62,6.17245208007952,21,8,7,7,12,6,20,2,5,1,14,6,2,7,117.38,17,-81,0.0966972676929932
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-115,NA
"Elijah Gertrude",1481,81,3.28156650911546,0.769750168804862,0.037037037037037,0.12153950033761,0.37037037037037,36,33,15,12,31,6,12,23,8,11,15,20.2656583389602,19,2,3,2,2,8,17,1,7,0,2,2,2,6,24.68,3,-109,0.107935650399184
"Isaac McKneely",13279,690,3.11770464643422,1.44137359740944,0.12463768115942,0.388583477671511,0.301449275362319,373,287,42,141,282,46,112,174,62,129,104,16.9825619399051,103,13,8,8,10,35,70,25,43,0,25,3,3,10,221.32,86,57,0.0910564718845469
"Jacob Groves",11117,563,3.0385895475398,1.59755329675272,0.156305506216696,0.474948277412971,0.312611012433393,329,241,27,127,243,37,91,142,45,104,88,14.9858055230728,70,11,3,9,11,25,49,11,26,6,16,4,1,19,185.28,88,61,0.088765056638827
"Jordan Minor",2788,160,3.44332855093257,1.18364418938307,0.00625,0.0215208034433285,0.3125,68,67,18,21,55,2,12,55,18,26,25,6.4780631276901,10,3,4,2,2,4,10,0,0,7,7,0,1,12,46.47,1,-113,0.137079417157261
"Leon Bond III",7170,364,3.04602510460251,1.36401673640167,0.032967032967033,0.100418410041841,0.291208791208791,184,172,30,69,151,17,50,109,39,68,53,28.1588870292887,66,8,4,7,10,29,49,1,2,16,22,6,4,9,119.5,12,-91,0.105643024141114
"Reece Beekman",16697,876,3.14787087500749,1.45894472060849,0.0981735159817352,0.309037551655986,0.324200913242009,471,385,51,173,357,55,142,223,88,163,142,21.4537246211894,104,52,11,19,24,39,84,7,25,2,26,26,8,9,278.28,86,57,0.0928122071237232
"Ryan Dunn",15202,802,3.16537297723984,1.67346401789238,0.128428927680798,0.406525457176687,0.341645885286783,437,334,44,162,325,49,128,200,81,154,137,22.546576766215,84,10,4,22,31,29,52,4,19,13,44,22,23,18,253.37,103,91,0.0914233300964512
"Taine Murray",4952,257,3.11389337641357,1.47819063004847,0.194552529182879,0.605815831987076,0.342412451361868,142,92,21,51,105,9,28,90,29,40,44,8.71004442649435,23,3,5,5,8,7,14,4,8,1,10,1,1,6,82.53,50,-15,0.126302776153423
"Tristan How",532,34,3.83458646616541,1.91729323308271,-0.147058823529412,-0.56390977443609,0.235294117647059,19,24,0,5,12,1,3,11,3,6,4,0.557368421052629,2,1,0,0,1,1,4,0,1,1,0,0,0,1,8.87,-5,-125,0.143632029657225
