"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsTA&M",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsTA&M",2
1,"19:39","Henry Coleman III vs. Jacob Groves (Cavaliers gains possession)",1179,""," ","Henry",0,0,"Cavs","vsTA&M",3
1,"19:24","Jacob Groves makes two point jump shot (Isaac McKneely assists)",1164,"Made Two","makes","Jacob Groves",2,0,"Opp","vsTA&M",4
1,"19:22","Wade Taylor IV misses three point jump shot",1162,"Missed Three","misses","Wade Taylor IV",2,0,"Opp","vsTA&M",4
1,"19:19","Henry Coleman III offensive rebound",1159,"Off Rebound","offensive rebound","Henry Coleman III",2,0,"Opp","vsTA&M",4
1,"19:04","Henry Coleman III makes two point layup",1144,"Made Two","makes","Henry Coleman III",2,2,"Cavs","vsTA&M",5
1,"19:02","Andrew Rohde misses two point layup",1142,"Missed Two","misses","Andrew Rohde",2,2,"Cavs","vsTA&M",5
1,"18:42","Wade Taylor IV defensive rebound",1122,"Def Rebound","defensive rebound","Wade Taylor IV",2,2,"Opp","vsTA&M",6
1,"18:16","Hayden Hefner turnover (out of bounds)",1096,"Turnover","turnover","Hayden Hefner",2,2,"Cavs","vsTA&M",7
1,"17:59","Isaac McKneely makes three point jump shot (Reece Beekman assists)",1079,"Made Three","makes","Isaac McKneely",5,2,"Opp","vsTA&M",8
1,"17:57","Hayden Hefner misses three point jump shot",1077,"Missed Three","misses","Hayden Hefner",5,2,"Opp","vsTA&M",8
1,"17:56","Reece Beekman defensive rebound",1076,"Def Rebound","defensive rebound","Reece Beekman",5,2,"Cavs","vsTA&M",9
1,"17:28","Isaac McKneely makes three point jump shot (Reece Beekman assists)",1048,"Made Three","makes","Isaac McKneely",8,2,"Opp","vsTA&M",10
1,"17:26","Henry Coleman III misses two point jump shot",1046,"Missed Two","misses","Henry Coleman III",8,2,"Opp","vsTA&M",10
1,"17:16","Ryan Dunn defensive rebound",1036,"Def Rebound","defensive rebound","Ryan Dunn",8,2,"Cavs","vsTA&M",11
1,"17:14","Isaac McKneely misses two point jump shot",1034,"Missed Two","misses","Isaac McKneely",8,2,"Cavs","vsTA&M",11
1,"17:04","Henry Coleman III defensive rebound",1024,"Def Rebound","defensive rebound","Henry Coleman III",8,2,"Opp","vsTA&M",12
1,"17:02","Jace Carter misses three point jump shot",1022,"Missed Three","misses","Jace Carter",8,2,"Opp","vsTA&M",12
1,"16:59","Henry Coleman III offensive rebound",1019,"Off Rebound","offensive rebound","Henry Coleman III",8,2,"Opp","vsTA&M",12
1,"16:57","Henry Coleman III misses two point layup",1017,"Missed Two","misses","Henry Coleman III",8,2,"Opp","vsTA&M",12
1,"16:42","Wildens Leveque offensive rebound",1002,"Off Rebound","offensive rebound","Wildens Leveque",8,2,"Opp","vsTA&M",12
1,"16:29","Aggies lineup change (Jace Carter, Hayden Hefner, Wade Taylor IV, Andersson Garcia, Henry Coleman III)",989,"Opp Sub"," ","Aggies",8,2,"Opp","vsTA&M",12
1,"15:55","Jace Carter makes two point layup (Andersson Garcia assists)",955,"Made Two","makes","Jace Carter",8,4,"Cavs","vsTA&M",13
1,"15:53","Andrew Rohde misses three point jump shot",953,"Missed Three","misses","Andrew Rohde",8,4,"Cavs","vsTA&M",13
1,"15:53","Aggies defensive rebound",953,"Def Rebound","defensive rebound","Aggies",8,4,"Opp","vsTA&M",14
1,"15:41","TV timeout",941,""," ","TV",8,4,"Opp","vsTA&M",14
1,"15:32","Jump ball. Hayden Hefner vs. Andrew Rohde (Aggies gains possession)",932,"Jump Ball"," ","Jump",8,4,"Opp","vsTA&M",14
1,"15:30","Hayden Hefner misses two point layup",930,"Missed Two","misses","Hayden Hefner",8,4,"Opp","vsTA&M",14
1,"15:15","Andrew Rohde defensive rebound",915,"Def Rebound","defensive rebound","Andrew Rohde",8,4,"Cavs","vsTA&M",15
1,"15:13","Ryan Dunn misses two point layup",913,"Missed Two","misses","Ryan Dunn",8,4,"Cavs","vsTA&M",15
1,"14:58","Jace Carter defensive rebound",898,"Def Rebound","defensive rebound","Jace Carter",8,4,"Opp","vsTA&M",16
1,"14:36","Jace Carter makes two point layup",876,"Made Two","makes","Jace Carter",8,6,"Cavs","vsTA&M",17
1,"14:11","Ryan Dunn makes three point jump shot (Andrew Rohde assists)",851,"Made Three","makes","Ryan Dunn",11,6,"Opp","vsTA&M",18
1,"13:45","Wade Taylor IV makes three point jump shot",825,"Made Three","makes","Wade Taylor IV",11,9,"Cavs","vsTA&M",19
1,"13:29","Ryan Dunn makes two point dunk (Jacob Groves assists)",809,"Made Two","makes","Ryan Dunn",13,9,"Opp","vsTA&M",20
1,"13:29","Aggies lineup change (Jace Carter, Solomon Washington, Wade Taylor IV, Andersson Garcia, Eli Lawrence)",809,"Opp Sub"," ","Aggies",13,9,"Opp","vsTA&M",20
1,"13:16","Cavaliers lineup change (Leon Bond III, Andrew Rohde, Isaac McKneely, Ryan Dunn, Jacob Groves)",796,"Cav Sub"," ","Cavaliers",13,9,"Opp","vsTA&M",20
1,"12:51","Solomon Washington makes two point layup",771,"Made Two","makes","Solomon Washington",13,11,"Cavs","vsTA&M",21
1,"12:32","Isaac McKneely makes two point jump shot",752,"Made Two","makes","Isaac McKneely",15,11,"Opp","vsTA&M",22
1,"12:12","Eli Lawrence turnover (lost ball) (Leon Bond III steals)",732,"Turnover","turnover","Eli Lawrence",15,11,"Cavs","vsTA&M",23
1,"12:10","Isaac McKneely misses three point jump shot",730,"Missed Three","misses","Isaac McKneely",15,11,"Cavs","vsTA&M",23
1,"12:01","Andersson Garcia defensive rebound",721,"Def Rebound","defensive rebound","Andersson Garcia",15,11,"Opp","vsTA&M",24
1,"11:59","Eli Lawrence misses three point jump shot",719,"Missed Three","misses","Eli Lawrence",15,11,"Opp","vsTA&M",24
1,"11:47","Ryan Dunn defensive rebound",707,"Def Rebound","defensive rebound","Ryan Dunn",15,11,"Cavs","vsTA&M",25
1,"11:47","TV timeout",707,""," ","TV",15,11,"Cavs","vsTA&M",25
1,"11:47","Aggies lineup change (Manny Obaseki, Hayden Hefner, Eli Lawrence, Andersson Garcia, Solomon Washington)",707,"Opp Sub"," ","Aggies",15,11,"Cavs","vsTA&M",25
1,"11:38","Cavaliers lineup change (Andrew Rohde, Elijah Gertrude, Reece Beekman, Blake Buchanan, Leon Bond III)",698,"Cav Sub"," ","Cavaliers",15,11,"Cavs","vsTA&M",25
1,"11:22","Andrew Rohde makes three point jump shot (Reece Beekman assists)",682,"Made Three","makes","Andrew Rohde",18,11,"Opp","vsTA&M",26
1,"11:20","Solomon Washington misses three point jump shot",680,"Missed Three","misses","Solomon Washington",18,11,"Opp","vsTA&M",26
1,"10:57","Elijah Gertrude defensive rebound",657,"Def Rebound","defensive rebound","Elijah Gertrude",18,11,"Cavs","vsTA&M",27
1,"10:55","Leon Bond III misses two point jump shot",655,"Missed Two","misses","Leon Bond III",18,11,"Cavs","vsTA&M",27
1,"10:37","Eli Lawrence defensive rebound",637,"Def Rebound","defensive rebound","Eli Lawrence",18,11,"Opp","vsTA&M",28
1,"10:27","Manny Obaseki turnover (lost ball) (Reece Beekman steals)",627,"Turnover","turnover","Manny Obaseki",18,11,"Cavs","vsTA&M",29
1,"10:25","Andrew Rohde misses two point jump shot",625,"Missed Two","misses","Andrew Rohde",18,11,"Cavs","vsTA&M",29
1,"10:25","Blake Buchanan offensive rebound",625,"Off Rebound","offensive rebound","Blake Buchanan",18,11,"Cavs","vsTA&M",29
1,"10:25","Manny Obaseki personal foul",625,"Foul","personal foul","Manny Obaseki",18,11,"Cavs","vsTA&M",29
1,"10:25","Aggies lineup change (Hayden Hefner, Henry Coleman III, Andersson Garcia, Jace Carter, Wade Taylor IV)",625,"Opp Sub"," ","Aggies",18,11,"Cavs","vsTA&M",29
1,"10:09","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Isaac McKneely, Elijah Gertrude, Leon Bond III)",609,"Cav Sub"," ","Cavaliers",18,11,"Cavs","vsTA&M",29
1,"10:07","Reece Beekman misses two point jump shot",607,"Missed Two","misses","Reece Beekman",18,11,"Cavs","vsTA&M",29
1,"10:00","Wade Taylor IV defensive rebound",600,"Def Rebound","defensive rebound","Wade Taylor IV",18,11,"Opp","vsTA&M",30
1,"10:00","Blake Buchanan personal foul",600,"Foul","personal foul","Blake Buchanan",18,11,"Opp","vsTA&M",30
1,"9:38","Cavaliers lineup change (Blake Buchanan, Reece Beekman, Isaac McKneely, Elijah Gertrude, Ryan Dunn)",578,"Cav Sub"," ","Cavaliers",18,11,"Opp","vsTA&M",30
1,"9:15","Henry Coleman III makes two point jump shot (Hayden Hefner assists)",555,"Made Two","makes","Henry Coleman III",18,13,"Cavs","vsTA&M",31
1,"9:03","Blake Buchanan turnover (lost ball) (Andersson Garcia steals)",543,"Turnover","turnover","Blake Buchanan",18,13,"Opp","vsTA&M",32
