"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsTARL",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Jake Groves)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsTARL",2
1,"19:43","Lue Williams vs. Ryan Dunn (Reece Beekman gains possession)",1183,""," ","Lue",0,0,"Cavs","vsTARL",3
1,"19:23","Ryan Dunn makes three point jump shot (Reece Beekman assists)",1163,"Made Three","makes","Ryan Dunn",3,0,"Opp","vsTARL",4
1,"19:23","Ryan Dunn shooting foul",1163,"Foul","shooting foul","Ryan Dunn",3,0,"Opp","vsTARL",4
1,"19:23","Jakorie Smith makes regular free throw 1 of 3",1163,"Made FT","makes","Jakorie Smith",3,1,"Opp","vsTARL",4
1,"19:23","Jakorie Smith makes regular free throw 2 of 3",1163,"Made FT","makes","Jakorie Smith",3,2,"Opp","vsTARL",4
1,"19:23","Jakorie Smith misses regular free throw 3 of 3",1163,"Missed FT","misses","Jakorie Smith",3,2,"Opp","vsTARL",4
1,"19:03","Ryan Dunn defensive rebound",1143,"Def Rebound","defensive rebound","Ryan Dunn",3,2,"Cavs","vsTARL",5
1,"18:53","Andrew Rohde makes three point jump shot (Reece Beekman assists)",1133,"Made Three","makes","Andrew Rohde",6,2,"Opp","vsTARL",6
1,"18:37","Adam Moussa turnover (bad pass) (Reece Beekman steals)",1117,"Turnover","turnover","Adam Moussa",6,2,"Cavs","vsTARL",7
1,"18:27","Reece Beekman makes two point dunk",1107,"Made Two","makes","Reece Beekman",8,2,"Opp","vsTARL",8
1,"17:55","Kiandre Gaddy makes two point layup (Bubu Benjamin assists)",1075,"Made Two","makes","Kiandre Gaddy",8,4,"Cavs","vsTARL",9
1,"17:35","Isaac McKneely makes three point jump shot (Ryan Dunn assists)",1055,"Made Three","makes","Isaac McKneely",11,4,"Opp","vsTARL",10
1,"17:33","Lue Williams misses three point jump shot",1053,"Missed Three","misses","Lue Williams",11,4,"Opp","vsTARL",10
1,"17:29","Jakorie Smith offensive rebound",1049,"Off Rebound","offensive rebound","Jakorie Smith",11,4,"Opp","vsTARL",10
1,"17:08","Jakorie Smith makes two point layup",1028,"Made Two","makes","Jakorie Smith",11,6,"Cavs","vsTARL",11
1,"17:06","Isaac McKneely misses three point jump shot",1026,"Missed Three","misses","Isaac McKneely",11,6,"Cavs","vsTARL",11
1,"17:06","Texans defensive rebound",1026,"Def Rebound","defensive rebound","Texans",11,6,"Opp","vsTARL",12
1,"17:04","Reece Beekman blocks Lue Williams's two point layup",1024,"Block","block","Reece Beekman",11,6,"Opp","vsTARL",12
1,"16:34","Reece Beekman defensive rebound",994,"Def Rebound","defensive rebound","Reece Beekman",11,6,"Cavs","vsTARL",13
1,"16:09","Isaac McKneely makes three point jump shot (Jacob Groves assists)",969,"Made Three","makes","Isaac McKneely",14,6,"Opp","vsTARL",14
1,"16:00","Kiandre Gaddy makes two point layup",960,"Made Two","makes","Kiandre Gaddy",14,8,"Cavs","vsTARL",15
1,"15:42","Reece Beekman makes two point layup (Isaac McKneely assists)",942,"Made Two","makes","Reece Beekman",16,8,"Cavs","vsTARL",15
1,"15:40","Jacob Groves shooting foul (Texans draws the foul)",940,"Foul","shooting foul","Jacob Groves",16,8,"Cavs","vsTARL",15
