"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsTXSO",1
1,"20:00","Cavaliers lineup change (Dante Harris,Reece Beekman,Andrew Rohde,Ryan Dunn,Blake Buchanan)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsTXSO",2
1,"19:41","Kenny Hunter vs. Blake Buchanan (Cavaliers gains possession)",1181,""," ","Kenny",0,0,"Cavs","vsTXSO",3
1,"19:39","Ryan Dunn misses three point jump shot",1179,"Missed Three","misses","Ryan Dunn",0,0,"Cavs","vsTXSO",3
1,"19:10","PJ Henry defensive rebound",1150,"Def Rebound","defensive rebound","PJ Henry",0,0,"Opp","vsTXSO",4
1,"18:50","Jahmar Young Jr. makes two point driving dunk",1130,"Made Two","makes","Jahmar Young Jr.",0,2,"Cavs","vsTXSO",5
1,"18:28","Andrew Rohde makes three point jump shot (Dante Harris assists)",1108,"Made Three","makes","Andrew Rohde",3,2,"Opp","vsTXSO",6
1,"18:26","PJ Henry misses two point jump shot",1106,"Missed Two","misses","PJ Henry",3,2,"Opp","vsTXSO",6
1,"18:10","PJ Henry offensive rebound",1090,"Off Rebound","offensive rebound","PJ Henry",3,2,"Opp","vsTXSO",6
1,"18:08","Kenny Hunter misses two point jump shot",1088,"Missed Two","misses","Kenny Hunter",3,2,"Opp","vsTXSO",6
1,"17:51","Dante Harris defensive rebound",1071,"Def Rebound","defensive rebound","Dante Harris",3,2,"Cavs","vsTXSO",7
1,"17:51","Kenny Hunter shooting foul (Ryan Dunn draws the foul)",1071,"Foul","shooting foul","Kenny Hunter",3,2,"Cavs","vsTXSO",7
1,"17:51","Ryan Dunn makes regular free throw 1 of 2",1071,"Made FT","makes","Ryan Dunn",4,2,"Cavs","vsTXSO",7
1,"17:23","Ryan Dunn makes regular free throw 2 of 2",1043,"Made FT","makes","Ryan Dunn",5,2,"Opp","vsTXSO",8
1,"17:05","Kenny Hunter makes two point turnaround jump shot (Jonathan Cisse assists)",1025,"Made Two","makes","Kenny Hunter",5,4,"Cavs","vsTXSO",9
1,"17:03","Blake Buchanan misses two point jump shot",1023,"Missed Two","misses","Blake Buchanan",5,4,"Cavs","vsTXSO",9
1,"16:53","Deon Stroud defensive rebound",1013,"Def Rebound","defensive rebound","Deon Stroud",5,4,"Opp","vsTXSO",10
1,"16:38","Deon Stroud turnover (bad pass) (Ryan Dunn steals)",998,"Turnover","turnover","Deon Stroud",5,4,"Cavs","vsTXSO",11
1,"16:35","Reece Beekman misses three point jump shot",995,"Missed Three","misses","Reece Beekman",5,4,"Cavs","vsTXSO",11
1,"16:10","Tigers defensive rebound",970,"Def Rebound","defensive rebound","Tigers",5,4,"Opp","vsTXSO",12
1,"16:08","PJ Henry misses three point jump shot",968,"Missed Three","misses","PJ Henry",5,4,"Opp","vsTXSO",12
1,"16:01","Jahmar Young Jr. offensive rebound",961,"Off Rebound","offensive rebound","Jahmar Young Jr.",5,4,"Opp","vsTXSO",12
1,"15:43","Jahmar Young Jr. turnover (bad pass)",943,"Turnover","turnover","Jahmar Young Jr.",5,4,"Cavs","vsTXSO",13
1,"15:41","Reece Beekman misses three point jump shot",941,"Missed Three","misses","Reece Beekman",5,4,"Cavs","vsTXSO",13
1,"15:15","Deon Stroud defensive rebound",915,"Def Rebound","defensive rebound","Deon Stroud",5,4,"Opp","vsTXSO",14
1,"15:13","Blake Buchanan blocks Jahmar Young Jr.'s two point hook shot",913,"Block","block","Blake Buchanan",5,4,"Opp","vsTXSO",14
1,"15:12","Jahmar Young Jr. offensive rebound",912,"Off Rebound","offensive rebound","Jahmar Young Jr.",5,4,"Opp","vsTXSO",14
1,"15:10","Jahmar Young Jr. misses two point layup",910,"Missed Two","misses","Jahmar Young Jr.",5,4,"Opp","vsTXSO",14
1,"15:01","Dante Harris defensive rebound",901,"Def Rebound","defensive rebound","Dante Harris",5,4,"Cavs","vsTXSO",15
1,"15:01","Cavaliers lineup change (Dante Harris,Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves)",901,"Cav Sub"," ","Cavaliers",5,4,"Cavs","vsTXSO",15
1,"14:57","TV timeout",897,""," ","TV",5,4,"Cavs","vsTXSO",15
1,"14:55","Andrew Rohde misses two point jump shot",895,"Missed Two","misses","Andrew Rohde",5,4,"Cavs","vsTXSO",15
1,"14:45","Ryan Dunn offensive rebound",885,"Off Rebound","offensive rebound","Ryan Dunn",5,4,"Cavs","vsTXSO",15
1,"14:15","Jacob Groves makes two point driving layup",855,"Made Two","makes","Jacob Groves",7,4,"Opp","vsTXSO",16
1,"13:47","Jonathan Cisse makes three point pullup jump shot (PJ Henry assists)",827,"Made Three","makes","Jonathan Cisse",7,7,"Cavs","vsTXSO",17
1,"13:45","Jacob Groves misses three point jump shot",825,"Missed Three","misses","Jacob Groves",7,7,"Cavs","vsTXSO",17
1,"13:20","Deon Stroud defensive rebound",800,"Def Rebound","defensive rebound","Deon Stroud",7,7,"Opp","vsTXSO",18
1,"13:15","Jonathan Cisse turnover (bad pass) (Ryan Dunn steals)",795,"Turnover","turnover","Jonathan Cisse",7,7,"Cavs","vsTXSO",19
1,"13:13","Dante Harris misses two point layup",793,"Missed Two","misses","Dante Harris",7,7,"Cavs","vsTXSO",19
1,"13:13","Cavaliers lineup change (Reece Beekman,Andrew Rohde,Ryan Dunn,Jacob Groves,Taine Murray,MORTLE,ZYTARIOUS,FAROOQ,KEHLIN)",793,"Cav Sub"," ","Cavaliers",7,7,"Cavs","vsTXSO",19
1,"12:47","Tigers defensive rebound",767,"Def Rebound","defensive rebound","Tigers",7,7,"Opp","vsTXSO",20
1,"12:31","Jahmar Young Jr. turnover (double dribble)",751,"Turnover","turnover","Jahmar Young Jr.",7,7,"Cavs","vsTXSO",21
1,"12:01","Reece Beekman makes two point driving layup",721,"Made Two","makes","Reece Beekman",9,7,"Opp","vsTXSO",22
1,"11:59","Zytarious Mortle misses three point jump shot",719,"Missed Three","misses","Zytarious Mortle",9,7,"Opp","vsTXSO",22
1,"11:49","Jahmar Young Jr. offensive rebound",709,"Off Rebound","offensive rebound","Jahmar Young Jr.",9,7,"Opp","vsTXSO",22
1,"11:49","Jahmar Young Jr. turnover (bad pass)",709,"Turnover","turnover","Jahmar Young Jr.",9,7,"Cavs","vsTXSO",23
1,"11:49","Cavaliers lineup change (Reece Beekman,Andrew Rohde,Jacob Groves,Taine Murray,MORTLE,ZYTARIOUS,FAROOQ,KEHLIN,Leon Bond III)",709,"Cav Sub"," ","Cavaliers",9,7,"Cavs","vsTXSO",23
1,"11:24","TV timeout",684,""," ","TV",9,7,"Cavs","vsTXSO",23
1,"11:11","Cavaliers lineup change (Reece Beekman,Andrew Rohde,Jacob Groves,Taine Murray,MORTLE,ZYTARIOUS,FAROOQ,KEHLIN,Leon Bond III,O'NEAL,SHAQIR)",671,"Cav Sub"," ","Cavaliers",9,7,"Cavs","vsTXSO",23
1,"11:10","Leon Bond III makes two point driving layup (Reece Beekman assists)",670,"Made Two","makes","Leon Bond III",11,7,"Opp","vsTXSO",24
1,"10:50","Jacob Groves personal foul (Deon Stroud draws the foul)",650,"Foul","personal foul","Jacob Groves",11,7,"Opp","vsTXSO",24
1,"10:48","Kehlin Farooq misses three point jump shot",648,"Missed Three","misses","Kehlin Farooq",11,7,"Opp","vsTXSO",24
1,"10:23","Taine Murray defensive rebound",623,"Def Rebound","defensive rebound","Taine Murray",11,7,"Cavs","vsTXSO",25
1,"10:21","Jacob Groves misses three point jump shot",621,"Missed Three","misses","Jacob Groves",11,7,"Cavs","vsTXSO",25
1,"10:13","Zytarious Mortle defensive rebound",613,"Def Rebound","defensive rebound","Zytarious Mortle",11,7,"Opp","vsTXSO",26
1,"10:10","Zytarious Mortle turnover (bad pass) (Reece Beekman steals)",610,"Turnover","turnover","Zytarious Mortle",11,7,"Cavs","vsTXSO",27
1,"10:10","Cavaliers lineup change (Reece Beekman,Jacob Groves,Taine Murray,MORTLE,ZYTARIOUS,FAROOQ,KEHLIN,Leon Bond III,O'NEAL,SHAQIR,Ryan Dunn,WYSINGER,JAYLEN)",610,"Cav Sub"," ","Cavaliers",11,7,"Cavs","vsTXSO",27
1,"10:00","Kehlin Farooq personal foul (Reece Beekman draws the foul)",600,"Foul","personal foul","Kehlin Farooq",11,7,"Cavs","vsTXSO",27
1,"9:35","Reece Beekman makes two point pullup jump shot (Ryan Dunn assists)",575,"Made Two","makes","Reece Beekman",13,7,"Opp","vsTXSO",28
1,"9:33","Zytarious Mortle misses two point jump shot",573,"Missed Two","misses","Zytarious Mortle",13,7,"Opp","vsTXSO",28
1,"9:29","Reece Beekman defensive rebound",569,"Def Rebound","defensive rebound","Reece Beekman",13,7,"Cavs","vsTXSO",29
1,"9:29","Zytarious Mortle shooting foul (Ryan Dunn draws the foul)",569,"Foul","shooting foul","Zytarious Mortle",13,7,"Cavs","vsTXSO",29
1,"9:29","Ryan Dunn makes regular free throw 1 of 2",569,"Made FT","makes","Ryan Dunn",14,7,"Cavs","vsTXSO",29
1,"09:28","Cavaliers lineup change (Jacob Groves,Taine Murray,FAROOQ,KEHLIN,Leon Bond III,O'NEAL,SHAQIR,Ryan Dunn,WYSINGER,JAYLEN,Dante Harris,GRANGER,KOLBY,HUNTER,KENNY)",568,"Cav Sub"," ","Cavaliers",14,7,"Cavs","vsTXSO",29
1,"9:16","Ryan Dunn makes regular free throw 2 of 2",556,"Made FT","makes","Ryan Dunn",15,7,"Opp","vsTXSO",30
1,"9:12","Jaylen Wysinger turnover (bad pass) (Dante Harris steals)",552,"Turnover","turnover","Jaylen Wysinger",15,7,"Cavs","vsTXSO",31
1,"9:12","Ryan Dunn makes two point driving dunk",552,"Made Two","makes","Ryan Dunn",17,7,"Cavs","vsTXSO",31
1,"9:12","Jaylen Wysinger shooting foul (Ryan Dunn draws the foul)",552,"Foul","shooting foul","Jaylen Wysinger",17,7,"Cavs","vsTXSO",31
1,"9:12","Ryan Dunn misses regular free throw 1 of 1",552,"Missed FT","misses","Ryan Dunn",17,7,"Cavs","vsTXSO",31
1,"8:50","Kehlin Farooq defensive rebound",530,"Def Rebound","defensive rebound","Kehlin Farooq",17,7,"Opp","vsTXSO",32
1,"08:48","Cavaliers lineup change (FAROOQ,KEHLIN,Leon Bond III,O'NEAL,SHAQIR,Ryan Dunn,WYSINGER,JAYLEN,Dante Harris,GRANGER,KOLBY,HUNTER,KENNY,Blake Buchanan,Andrew Rohde)",528,"Cav Sub"," ","Cavaliers",17,7,"Opp","vsTXSO",32
1,"8:37","Leon Bond III personal foul (Kehlin Farooq draws the foul)",517,"Foul","personal foul","Leon Bond III",17,7,"Opp","vsTXSO",32
1,"8:18","Kehlin Farooq makes three point jump shot (Kolby Granger assists)",498,"Made Three","makes","Kehlin Farooq",17,10,"Cavs","vsTXSO",33
1,"8:16","Dante Harris misses two point jump shot",496,"Missed Two","misses","Dante Harris",17,10,"Cavs","vsTXSO",33
1,"8:09","Kenny Hunter defensive rebound",489,"Def Rebound","defensive rebound","Kenny Hunter",17,10,"Opp","vsTXSO",34
1,"8:07","Ryan Dunn blocks Jaylen Wysinger's two point jump shot",487,"Block","block","Ryan Dunn",17,10,"Opp","vsTXSO",34
1,"8:01","Tigers offensive rebound",481,"Off Rebound","offensive rebound","Tigers",17,10,"Opp","vsTXSO",34
1,"7:59","Kenny Hunter misses two point jump shot",479,"Missed Two","misses","Kenny Hunter",17,10,"Opp","vsTXSO",34
1,"7:48","Blake Buchanan defensive rebound",468,"Def Rebound","defensive rebound","Blake Buchanan",17,10,"Cavs","vsTXSO",35
1,"7:21","Ryan Dunn makes three point jump shot (Leon Bond III assists)",441,"Made Three","makes","Ryan Dunn",20,10,"Opp","vsTXSO",36
1,"7:19","Shaqir O'Neal misses three point jump shot",439,"Missed Three","misses","Shaqir O'Neal",20,10,"Opp","vsTXSO",36
1,"7:12","Dante Harris defensive rebound",432,"Def Rebound","defensive rebound","Dante Harris",20,10,"Cavs","vsTXSO",37
1,"7:12","Dante Harris offensive foul (Kolby Granger draws the foul)",432,""," ","Dante",20,10,"Cavs","vsTXSO",37
1,"7:12","Dante Harris turnover (offensive foul)",432,"Turnover","turnover","Dante Harris",20,10,"Opp","vsTXSO",38
1,"07:12","Cavaliers lineup change (FAROOQ,KEHLIN,O'NEAL,SHAQIR,Ryan Dunn,WYSINGER,JAYLEN,GRANGER,KOLBY,HUNTER,KENNY,Blake Buchanan,Andrew Rohde,Reece Beekman,Jacob Groves)",432,"Cav Sub"," ","Cavaliers",20,10,"Opp","vsTXSO",38
1,"7:01","TV timeout",421,""," ","TV",20,10,"Opp","vsTXSO",38
1,"7:01","Blake Buchanan shooting foul (Shaqir O'Neal draws the foul)",421,"Foul","shooting foul","Blake Buchanan",20,10,"Opp","vsTXSO",38
1,"7:01","Shaqir O'Neal misses regular free throw 1 of 2",421,"Missed FT","misses","Shaqir O'Neal",20,10,"Opp","vsTXSO",38
1,"6:49","Shaqir O'Neal makes regular free throw 2 of 2",409,"Made FT","makes","Shaqir O'Neal",20,11,"Cavs","vsTXSO",39
1,"6:47","Reece Beekman misses two point layup",407,"Missed Two","misses","Reece Beekman",20,11,"Cavs","vsTXSO",39
1,"6:29","Kenny Hunter defensive rebound",389,"Def Rebound","defensive rebound","Kenny Hunter",20,11,"Opp","vsTXSO",40
1,"6:28","Reece Beekman blocks Kehlin Farooq's three point jump shot",388,"Block","block","Reece Beekman",20,11,"Opp","vsTXSO",40
1,"6:26","Tigers offensive rebound",386,"Off Rebound","offensive rebound","Tigers",20,11,"Opp","vsTXSO",40
1,"6:10","Jaylen Wysinger turnover (lost ball) (Reece Beekman steals)",370,"Turnover","turnover","Jaylen Wysinger",20,11,"Cavs","vsTXSO",41
1,"06:02","Cavaliers lineup change (FAROOQ,KEHLIN,O'NEAL,SHAQIR,Ryan Dunn,HUNTER,KENNY,Blake Buchanan,Andrew Rohde,Reece Beekman,Jacob Groves,HENRY,PJ,CISSE,JONATHAN)",362,"Cav Sub"," ","Cavaliers",20,11,"Cavs","vsTXSO",41
1,"5:59","Reece Beekman turnover (lost ball) (Kenny Hunter steals)",359,"Turnover","turnover","Reece Beekman",20,11,"Opp","vsTXSO",42
1,"5:39","Reece Beekman personal foul (Kolby Granger draws the foul)",339,"Foul","personal foul","Reece Beekman",20,11,"Opp","vsTXSO",42
1,"5:17","Kehlin Farooq turnover (lost ball) (Reece Beekman steals)",317,"Turnover","turnover","Kehlin Farooq",20,11,"Cavs","vsTXSO",43
1,"5:15","Reece Beekman misses three point jump shot",315,"Missed Three","misses","Reece Beekman",20,11,"Cavs","vsTXSO",43
1,"5:14","Blake Buchanan offensive rebound",314,"Off Rebound","offensive rebound","Blake Buchanan",20,11,"Cavs","vsTXSO",43
1,"4:58","Blake Buchanan turnover (traveling)",298,"Turnover","turnover","Blake Buchanan",20,11,"Opp","vsTXSO",44
1,"4:56","Ryan Dunn blocks Jonathan Cisse's two point jump shot",296,"Block","block","Ryan Dunn",20,11,"Opp","vsTXSO",44
1,"4:44","Ryan Dunn defensive rebound",284,"Def Rebound","defensive rebound","Ryan Dunn",20,11,"Cavs","vsTXSO",45
1,"4:44","Kehlin Farooq shooting foul (Andrew Rohde draws the foul)",284,"Foul","shooting foul","Kehlin Farooq",20,11,"Cavs","vsTXSO",45
1,"4:44","Andrew Rohde makes regular free throw 1 of 2",284,"Made FT","makes","Andrew Rohde",21,11,"Cavs","vsTXSO",45
1,"4:44","Andrew Rohde misses regular free throw 2 of 2",284,"Missed FT","misses","Andrew Rohde",21,11,"Cavs","vsTXSO",45
1,"04:43","Cavaliers lineup change (FAROOQ,KEHLIN,O'NEAL,SHAQIR,Blake Buchanan,Andrew Rohde,Reece Beekman,Jacob Groves,HENRY,PJ,CISSE,JONATHAN,Dante Harris,YOUNG JR.,JAHMAR)",283,"Cav Sub"," ","Cavaliers",21,11,"Cavs","vsTXSO",45
1,"4:22","Kehlin Farooq defensive rebound",262,"Def Rebound","defensive rebound","Kehlin Farooq",21,11,"Opp","vsTXSO",46
1,"04:21","Cavaliers lineup change (FAROOQ,KEHLIN,Blake Buchanan,Andrew Rohde,Reece Beekman,HENRY,PJ,CISSE,JONATHAN,Dante Harris,YOUNG JR.,JAHMAR,Leon Bond III,HUNTER,KENNY)",261,"Cav Sub"," ","Cavaliers",21,11,"Opp","vsTXSO",46
1,"4:13","Jacob Groves personal foul (Kehlin Farooq draws the foul)",253,"Foul","personal foul","Jacob Groves",21,11,"Opp","vsTXSO",46
1,"4:11","Reece Beekman blocks PJ Henry's two point jump shot",251,"Block","block","Reece Beekman",21,11,"Opp","vsTXSO",46
1,"3:56","Blake Buchanan defensive rebound",236,"Def Rebound","defensive rebound","Blake Buchanan",21,11,"Cavs","vsTXSO",47
1,"3:25","Reece Beekman turnover (bad pass) (Kehlin Farooq steals)",205,"Turnover","turnover","Reece Beekman",21,11,"Opp","vsTXSO",48
1,"3:23","Jonathan Cisse misses three point jump shot",203,"Missed Three","misses","Jonathan Cisse",21,11,"Opp","vsTXSO",48
1,"3:01","Kehlin Farooq offensive rebound",181,"Off Rebound","offensive rebound","Kehlin Farooq",21,11,"Opp","vsTXSO",48
1,"2:59","PJ Henry misses two point jump shot",179,"Missed Two","misses","PJ Henry",21,11,"Opp","vsTXSO",48
1,"2:48","Reece Beekman defensive rebound",168,"Def Rebound","defensive rebound","Reece Beekman",21,11,"Cavs","vsTXSO",49
1,"2:30","Dante Harris makes three point jump shot (Reece Beekman assists)",150,"Made Three","makes","Dante Harris",24,11,"Opp","vsTXSO",50
1,"2:25","PJ Henry turnover (bad pass) (Leon Bond III steals)",145,"Turnover","turnover","PJ Henry",24,11,"Cavs","vsTXSO",51
1,"2:25","Dante Harris turnover (traveling)",145,"Turnover","turnover","Dante Harris",24,11,"Opp","vsTXSO",52
1,"02:24","Cavaliers lineup change (FAROOQ,KEHLIN,Blake Buchanan,Reece Beekman,HENRY,PJ,CISSE,JONATHAN,Dante Harris,YOUNG JR.,JAHMAR,Leon Bond III,Ryan Dunn,STROUD,DEON)",144,"Cav Sub"," ","Cavaliers",24,11,"Opp","vsTXSO",52
1,"2:02","TV timeout",122,""," ","TV",24,11,"Opp","vsTXSO",52
1,"2:00","Reece Beekman blocks Jonathan Cisse's two point jump shot",120,"Block","block","Reece Beekman",24,11,"Opp","vsTXSO",52
1,"1:34","Ryan Dunn defensive rebound",94,"Def Rebound","defensive rebound","Ryan Dunn",24,11,"Cavs","vsTXSO",53
1,"01:34","Cavaliers lineup change (FAROOQ,KEHLIN,Reece Beekman,HENRY,PJ,Dante Harris,YOUNG JR.,JAHMAR,Leon Bond III,Ryan Dunn,STROUD,DEON,Jordan Minor,WYSINGER,JAYLEN)",94,"Cav Sub"," ","Cavaliers",24,11,"Cavs","vsTXSO",53
1,"1:18","Jonathan Cisse personal foul (Dante Harris draws the foul)",78,"Foul","personal foul","Jonathan Cisse",24,11,"Cavs","vsTXSO",53
1,"1:16","Ryan Dunn misses three point jump shot",76,"Missed Three","misses","Ryan Dunn",24,11,"Cavs","vsTXSO",53
1,"1:05","Jaylen Wysinger defensive rebound",65,"Def Rebound","defensive rebound","Jaylen Wysinger",24,11,"Opp","vsTXSO",54
1,"1:03","PJ Henry misses three point jump shot",63,"Missed Three","misses","PJ Henry",24,11,"Opp","vsTXSO",54
1,"0:50","Jahmar Young Jr. offensive rebound",50,"Off Rebound","offensive rebound","Jahmar Young Jr.",24,11,"Opp","vsTXSO",54
1,"0:48","Jahmar Young Jr. misses two point layup",48,"Missed Two","misses","Jahmar Young Jr.",24,11,"Opp","vsTXSO",54
1,"0:47","Jahmar Young Jr. offensive rebound",47,"Off Rebound","offensive rebound","Jahmar Young Jr.",24,11,"Opp","vsTXSO",54
1,"0:47","Jahmar Young Jr. makes two point layup",47,"Made Two","makes","Jahmar Young Jr.",24,13,"Opp","vsTXSO",54
1,"0:47","Jordan Minor shooting foul (Jahmar Young Jr. draws the foul)",47,"Foul","shooting foul","Jordan Minor",24,13,"Opp","vsTXSO",54
1,"0:33","Jahmar Young Jr. makes regular free throw 1 of 1",33,"Made FT","makes","Jahmar Young Jr.",24,14,"Cavs","vsTXSO",55
1,"0:03","Reece Beekman makes two point driving layup",3,"Made Two","makes","Reece Beekman",26,14,"Opp","vsTXSO",56
1,"0:03","Deon Stroud turnover (traveling)",3,"Turnover","turnover","Deon Stroud",26,14,"Cavs","vsTXSO",57
1,"00:03","Cavaliers lineup change (FAROOQ,KEHLIN,Reece Beekman,Dante Harris,YOUNG JR.,JAHMAR,Ryan Dunn,STROUD,DEON,Jordan Minor,WYSINGER,JAYLEN,Jacob Groves,MORTLE,ZYTARIOUS)",3,"Cav Sub"," ","Cavaliers",26,14,"Cavs","vsTXSO",57
1,"0:01","Cavaliers 30 second timeout",1,"Timeout","second timeout","Cavaliers 30",26,14,"Cavs","vsTXSO",57
2,"20:00","2ND HALF",1200,""," ","2ND",26,14,"Cavs","vsTXSO",57
2,"20:00","Cavaliers lineup change (FAROOQ,KEHLIN,Reece Beekman,Dante Harris,YOUNG JR.,JAHMAR,Ryan Dunn,STROUD,DEON,WYSINGER,JAYLEN,Blake Buchanan,Andrew Rohde,HENRY,PJ)",1200,"Cav Sub"," ","Cavaliers",26,14,"Cavs","vsTXSO",57
2,"19:38","Open inbound Tigers",1178,""," ","Open",26,14,"Opp","vsTXSO",58
2,"19:35","Ryan Dunn blocks Jahmar Young Jr.'s two point layup",1175,"Block","block","Ryan Dunn",26,14,"Opp","vsTXSO",58
2,"19:31","Tigers offensive rebound",1171,"Off Rebound","offensive rebound","Tigers",26,14,"Opp","vsTXSO",58
2,"19:29","Blake Buchanan blocks Jaylen Wysinger's two point layup",1169,"Block","block","Blake Buchanan",26,14,"Opp","vsTXSO",58
2,"19:13","Dante Harris defensive rebound",1153,"Def Rebound","defensive rebound","Dante Harris",26,14,"Cavs","vsTXSO",59
2,"19:13","Jahmar Young Jr. shooting foul (Blake Buchanan draws the foul)",1153,"Foul","shooting foul","Jahmar Young Jr.",26,14,"Cavs","vsTXSO",59
2,"19:13","Blake Buchanan misses regular free throw 1 of 2",1153,"Missed FT","misses","Blake Buchanan",26,14,"Cavs","vsTXSO",59
2,"18:53","Blake Buchanan makes regular free throw 2 of 2",1133,"Made FT","makes","Blake Buchanan",27,14,"Opp","vsTXSO",60
2,"18:51","Deon Stroud misses two point jump shot",1131,"Missed Two","misses","Deon Stroud",27,14,"Opp","vsTXSO",60
2,"18:50","Andrew Rohde defensive rebound",1130,"Def Rebound","defensive rebound","Andrew Rohde",27,14,"Cavs","vsTXSO",61
2,"18:48","Andrew Rohde turnover (Deon Stroud steals)",1128,"Turnover","turnover","Andrew Rohde",27,14,"Opp","vsTXSO",62
2,"18:45","Ryan Dunn personal foul (Deon Stroud draws the foul)",1125,"Foul","personal foul","Ryan Dunn",27,14,"Opp","vsTXSO",62
2,"18:45","PJ Henry offensive foul",1125,""," ","PJ",27,14,"Opp","vsTXSO",62
