"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1714,88,3.08051341890315,1.57526254375729,0.238636363636364,0.73512252042007,0.545454545454545,43,22,8,14,31,4,13,21,10,15,24,7.4320536756126,6,3,3,1,2,2,4,1,1,0,3,1,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",1320,67,3.04545454545455,1.27272727272727,0.0895522388059701,0.272727272727273,0.537313432835821,28,22,11,8,19,4,8,18,8,9,18,15.3676818181818,5,0,1,3,5,1,2,0,0,2,2,1,3,2
"Bryce Walker",168,7,2.5,1.42857142857143,0.142857142857143,0.357142857142857,0,6,5,0,2,5,1,2,5,0,2,0,14.8075,1,0,0,1,2,0,0,0,0,0,1,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",1622,81,2.99630086313194,1.36868064118372,0.135802469135802,0.406905055487053,0.493827160493827,38,27,9,13,29,4,11,20,10,14,20,6.49882860665845,6,2,2,0,0,2,6,2,2,0,4,1,0,1
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",0,1,Inf,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jacob Groves",991,49,2.96670030272452,1.87689202825429,0.469387755102041,1.39253279515641,0.612244897959184,27,4,2,10,21,0,6,13,4,11,15,12.5057921291625,7,0,0,1,1,3,6,0,3,1,1,0,0,2
"Jordan Minor",423,18,2.5531914893617,1.13475177304965,0.0555555555555556,0.141843971631206,0.222222222222222,10,9,1,4,10,1,3,9,2,4,2,31.3451063829787,2,1,0,0,0,1,1,0,0,3,0,0,0,1
"Leon Bond III",1210,56,2.77685950413223,1.53719008264463,0.321428571428571,0.892561983471074,0.428571428571429,32,14,4,13,25,3,8,20,4,11,12,22.6459834710744,8,1,0,0,0,4,7,0,0,1,2,3,0,2
"Reece Beekman",1641,83,3.03473491773309,1.6819012797075,0.240963855421687,0.731261425959781,0.578313253012048,42,22,9,13,27,3,11,19,11,13,24,13.6045338208409,8,4,3,0,0,4,11,0,4,0,3,4,3,3
"Ryan Dunn",1486,78,3.14939434724092,1.85733512786003,0.205128205128205,0.646029609690444,0.564102564102564,41,25,8,12,26,3,10,18,12,12,22,42.8694751009421,15,2,0,8,9,3,5,1,3,2,3,3,4,2
"Taine Murray",1252,60,2.87539936102236,1.77316293929712,0.45,1.29392971246006,0.433333333333333,37,10,3,14,27,1,6,22,4,12,13,2.12702875399361,4,0,2,1,2,1,2,1,2,0,3,0,0,1
"Tristan How",168,7,2.5,1.07142857142857,0.142857142857143,0.357142857142857,0,6,5,0,2,5,1,2,5,0,2,0,-13.9964285714286,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"Without Andrew Rohde",685,31,2.71532846715328,NA,0.258064516129032,0.700729927007299,0.387096774193548,19,11,3,7,14,1,3,13,3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2399,119,2.97624010004168,NA,0.243697478991597,0.725302209253856,0.504201680672269,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1079,52,2.89156626506024,NA,0.442307692307692,1.27896200185357,0.461538461538462,34,11,0,13,26,1,8,16,5,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2231,112,3.01210219632452,NA,0.25,0.75302554908113,0.535714285714286,56,28,11,19,40,4,14,29,13,19,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2399,119,2.97624010004168,NA,0.243697478991597,0.725302209253856,0.504201680672269,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2399,119,2.97624010004168,NA,0.243697478991597,0.725302209253856,0.504201680672269,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",777,38,2.93436293436293,NA,0.473684210526316,1.38996138996139,0.526315789473684,24,6,2,8,16,1,5,14,3,7,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2399,119,2.97624010004168,NA,0.243697478991597,0.725302209253856,0.504201680672269,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Elijah Gertrude",2399,119,2.97624010004168,NA,0.243697478991597,0.725302209253856,0.504201680672269,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Isaac McKneely",2399,118,2.95122967903293,NA,0.245762711864407,0.725302209253856,0.508474576271186,62,33,11,21,45,5,16,34,13,21,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jacob Groves",1408,70,2.98295454545455,NA,0.0857142857142857,0.255681818181818,0.428571428571429,35,29,9,11,24,5,10,21,9,10,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Jordan Minor",1976,101,3.0668016194332,NA,0.277227722772277,0.850202429149798,0.554455445544555,52,24,10,17,35,4,13,25,11,17,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Leon Bond III",1189,63,3.17914213624895,NA,0.174603174603175,0.555088309503785,0.571428571428571,30,19,7,8,20,2,8,14,9,10,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
