"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsWIS",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Blake Buchanan)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsWIS",2
1,"19:41","Chucky Hepburn vs. Ryan Dunn (Badgers gains possession)",1181,""," ","Chucky",0,0,"Opp","vsWIS",3
1,"19:20","Steven Crowl makes two point dunk (Tyler Wahl assists)",1160,"Made Two","makes","Steven Crowl",0,2,"Cavs","vsWIS",4
1,"18:48","Ryan Dunn makes two point layup (Reece Beekman assists)",1128,"Made Two","makes","Ryan Dunn",2,2,"Opp","vsWIS",5
1,"18:25","Max Klesmit makes two point jump shot",1105,"Made Two","makes","Max Klesmit",2,4,"Cavs","vsWIS",6
1,"18:23","Andrew Rohde misses two point jump shot",1103,"Missed Two","misses","Andrew Rohde",2,4,"Cavs","vsWIS",6
1,"18:02","AJ Storr defensive rebound",1082,"Def Rebound","defensive rebound","AJ Storr",2,4,"Opp","vsWIS",7
1,"18:00","Chucky Hepburn misses three point jump shot",1080,"Missed Three","misses","Chucky Hepburn",2,4,"Opp","vsWIS",7
1,"17:38","Cavaliers defensive rebound",1058,"Def Rebound","defensive rebound","Cavaliers",2,4,"Cavs","vsWIS",8
1,"17:32","Isaac McKneely turnover (bad pass) (AJ Storr steals)",1052,"Turnover","turnover","Isaac McKneely",2,4,"Opp","vsWIS",9
1,"17:30","AJ Storr misses two point hook shot",1050,"Missed Two","misses","AJ Storr",2,4,"Opp","vsWIS",9
1,"17:14","Steven Crowl offensive rebound",1034,"Off Rebound","offensive rebound","Steven Crowl",2,4,"Opp","vsWIS",9
1,"17:12","Blake Buchanan blocks Steven Crowl's two point layup",1032,"Block","block","Blake Buchanan",2,4,"Opp","vsWIS",9
1,"17:09","Steven Crowl offensive rebound",1029,"Off Rebound","offensive rebound","Steven Crowl",2,4,"Opp","vsWIS",9
1,"17:03","Official timeout",1023,""," ","Official",2,4,"Opp","vsWIS",9
1,"17:03","Ryan Dunn shooting foul (Tyler Wahl draws the foul)",1023,"Foul","shooting foul","Ryan Dunn",2,4,"Opp","vsWIS",9
1,"17:03","Tyler Wahl makes regular free throw 1 of 2",1023,"Made FT","makes","Tyler Wahl",2,5,"Opp","vsWIS",9
1,"17:03","Tyler Wahl misses regular free throw 2 of 2",1023,"Missed FT","misses","Tyler Wahl",2,5,"Opp","vsWIS",9
1,"16:43","Reece Beekman defensive rebound",1003,"Def Rebound","defensive rebound","Reece Beekman",2,5,"Cavs","vsWIS",10
1,"16:15","Isaac McKneely makes two point jump shot (Reece Beekman assists)",975,"Made Two","makes","Isaac McKneely",4,5,"Opp","vsWIS",11
1,"16:00","Steven Crowl makes two point layup (AJ Storr assists)",960,"Made Two","makes","Steven Crowl",4,7,"Cavs","vsWIS",12
1,"15:58","Ryan Dunn misses three point jump shot",958,"Missed Three","misses","Ryan Dunn",4,7,"Cavs","vsWIS",12
1,"15:51","Max Klesmit defensive rebound",951,"Def Rebound","defensive rebound","Max Klesmit",4,7,"Opp","vsWIS",13
1,"15:49","Ryan Dunn blocks Tyler Wahl's two point layup",949,"Block","block","Ryan Dunn",4,7,"Opp","vsWIS",13
1,"15:42","Tyler Wahl offensive rebound",942,"Off Rebound","offensive rebound","Tyler Wahl",4,7,"Opp","vsWIS",13
1,"15:40","Blake Buchanan blocks Tyler Wahl's two point layup",940,"Block","block","Blake Buchanan",4,7,"Opp","vsWIS",13
1,"15:38","Reece Beekman defensive rebound",938,"Def Rebound","defensive rebound","Reece Beekman",4,7,"Cavs","vsWIS",14
1,"15:36","Reece Beekman misses two point layup",936,"Missed Two","misses","Reece Beekman",4,7,"Cavs","vsWIS",14
1,"15:18","Steven Crowl defensive rebound",918,"Def Rebound","defensive rebound","Steven Crowl",4,7,"Opp","vsWIS",15
1,"15:16","Chucky Hepburn misses two point jump shot",916,"Missed Two","misses","Chucky Hepburn",4,7,"Opp","vsWIS",15
1,"14:57","Blake Buchanan defensive rebound",897,"Def Rebound","defensive rebound","Blake Buchanan",4,7,"Cavs","vsWIS",16
1,"14:55","Ryan Dunn misses three point jump shot",895,"Missed Three","misses","Ryan Dunn",4,7,"Cavs","vsWIS",16
1,"14:33","Steven Crowl defensive rebound",873,"Def Rebound","defensive rebound","Steven Crowl",4,7,"Opp","vsWIS",17
1,"14:08","Steven Crowl makes three point jump shot (Tyler Wahl assists)",848,"Made Three","makes","Steven Crowl",4,10,"Cavs","vsWIS",18
1,"13:47","Reece Beekman makes three point jump shot (Andrew Rohde assists)",827,"Made Three","makes","Reece Beekman",7,10,"Opp","vsWIS",19
1,"13:45","Ryan Dunn blocks Tyler Wahl's two point layup",825,"Block","block","Ryan Dunn",7,10,"Opp","vsWIS",19
1,"13:38","Steven Crowl offensive rebound",818,"Off Rebound","offensive rebound","Steven Crowl",7,10,"Opp","vsWIS",19
1,"13:36","Chucky Hepburn misses three point jump shot",816,"Missed Three","misses","Chucky Hepburn",7,10,"Opp","vsWIS",19
1,"13:34","Tyler Wahl offensive rebound",814,"Off Rebound","offensive rebound","Tyler Wahl",7,10,"Opp","vsWIS",19
1,"13:32","Tyler Wahl misses two point layup",812,"Missed Two","misses","Tyler Wahl",7,10,"Opp","vsWIS",19
1,"13:11","Ryan Dunn defensive rebound",791,"Def Rebound","defensive rebound","Ryan Dunn",7,10,"Cavs","vsWIS",20
1,"13:11","Blake Buchanan offensive foul",791,""," ","Blake",7,10,"Cavs","vsWIS",20
1,"13:11","Blake Buchanan turnover (offensive foul)",791,"Turnover","turnover","Blake Buchanan",7,10,"Opp","vsWIS",21
1,"13:11","TV timeout",791,""," ","TV",7,10,"Opp","vsWIS",21
1,"13:11","Badgers lineup change (Nolan Winter, Kamari McGee, Carter Gilmore, John Blackwell, Max Klesmit)",791,"Opp Sub"," ","Badgers",7,10,"Opp","vsWIS",21
1,"12:54","Cavaliers lineup change (Dante Harris, Jordan Minor, Jacob Groves, Reece Beekman, Isaac McKneely)",774,"Cav Sub"," ","Cavaliers",7,10,"Opp","vsWIS",21
1,"12:51","Max Klesmit turnover (lost ball) (Reece Beekman steals)",771,"Turnover","turnover","Max Klesmit",7,10,"Cavs","vsWIS",22
1,"12:34","Reece Beekman turnover (bad pass) (Nolan Winter steals)",754,"Turnover","turnover","Reece Beekman",7,10,"Opp","vsWIS",23
1,"12:34","Jordan Minor shooting foul (John Blackwell draws the foul)",754,"Foul","shooting foul","Jordan Minor",7,10,"Opp","vsWIS",23
1,"12:34","John Blackwell makes regular free throw 1 of 2",754,"Made FT","makes","John Blackwell",7,11,"Opp","vsWIS",23
1,"12:05","John Blackwell makes regular free throw 2 of 2",725,"Made FT","makes","John Blackwell",7,12,"Cavs","vsWIS",24
1,"12:03","Jacob Groves misses two point jump shot",723,"Missed Two","misses","Jacob Groves",7,12,"Cavs","vsWIS",24
1,"11:46","John Blackwell defensive rebound",706,"Def Rebound","defensive rebound","John Blackwell",7,12,"Opp","vsWIS",25
1,"11:44","Max Klesmit misses three point jump shot",704,"Missed Three","misses","Max Klesmit",7,12,"Opp","vsWIS",25
1,"11:31","Dante Harris defensive rebound",691,"Def Rebound","defensive rebound","Dante Harris",7,12,"Cavs","vsWIS",26
1,"11:31","John Blackwell personal foul",691,"Foul","personal foul","John Blackwell",7,12,"Cavs","vsWIS",26
1,"11:31","TV timeout",691,""," ","TV",7,12,"Cavs","vsWIS",26
1,"11:31","Cavaliers lineup change (Andrew Rohde, Leon Bond III, Dante Harris, Isaac McKneely, Jacob Groves)",691,"Cav Sub"," ","Cavaliers",7,12,"Cavs","vsWIS",26
1,"11:11","Badgers lineup change (Kamari McGee, Carter Gilmore, John Blackwell, Nolan Winter, Steven Crowl)",671,"Opp Sub"," ","Badgers",7,12,"Cavs","vsWIS",26
1,"11:09","Dante Harris misses two point jump shot",669,"Missed Two","misses","Dante Harris",7,12,"Cavs","vsWIS",26
1,"10:42","John Blackwell defensive rebound",642,"Def Rebound","defensive rebound","John Blackwell",7,12,"Opp","vsWIS",27
