"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1809,86,2.85240464344942,0.630182421227197,-0.186046511627907,-0.530679933665008,0.348837209302326,32,48,5,12,37,4,12,15,16,23,15,6.07257048092869,5,3,0,0,0,2,6,1,3,0,2,0,0,1
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",884,44,2.98642533936652,0.678733031674208,-0.272727272727273,-0.81447963800905,0.363636363636364,14,26,4,5,16,2,7,10,8,10,8,5.31990950226244,0,0,1,0,0,0,1,0,0,2,1,0,2,0
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",985,42,2.55837563451777,-0.182741116751269,-0.5,-1.27918781725888,0.19047619047619,10,31,6,3,15,0,3,7,10,11,4,-12.8318984771574,0,0,2,0,0,0,3,0,1,0,1,0,0,0
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",1979,95,2.88024254674078,0.848913592723598,-0.0947368421052632,-0.272865083375442,0.336842105263158,40,49,5,15,39,4,12,18,15,23,16,7.39615967660435,9,0,1,2,2,3,7,1,1,0,1,1,0,1
"Jacob Groves",1230,57,2.78048780487805,0.829268292682927,-0.245614035087719,-0.682926829268293,0.280701754385965,25,39,4,9,23,2,7,7,5,13,8,-4.74131707317073,4,0,1,2,2,1,7,0,3,0,2,0,0,1
"Jordan Minor",266,12,2.70676691729323,-0.902255639097744,-0.166666666666667,-0.451127819548872,0.333333333333333,0,2,2,0,4,0,0,3,5,4,2,-3.87383458646616,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Leon Bond III",799,31,2.3279098873592,-0.450563204005006,-0.483870967741935,-1.12640801001252,0.129032258064516,6,21,3,2,13,0,2,7,9,10,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"Reece Beekman",2059,99,2.88489558037882,0.786789703739679,-0.232323232323232,-0.670228266148616,0.303030303030303,39,62,6,14,39,4,14,19,12,23,15,24.2810587663915,17,7,2,3,3,6,12,2,3,1,3,2,0,1
"Ryan Dunn",1613,80,2.97582145071296,1.26472411655301,-0.0625,-0.18598884066956,0.35,37,42,3,14,34,4,12,15,13,19,14,15.8732920024798,6,0,1,0,0,3,6,0,2,0,6,2,5,3
"Taine Murray",356,14,2.35955056179775,-0.50561797752809,-0.214285714285714,-0.50561797752809,0.142857142857143,2,5,2,1,5,0,1,4,7,4,1,-13.2101123595506,0,0,0,0,0,0,2,0,1,0,0,0,0,0
"Tristan How",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Without Andrew Rohde",587,26,2.65758091993186,NA,-0.307692307692308,-0.817717206132879,0.153846153846154,9,17,3,3,8,0,2,6,4,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Anthony Robinson",2396,112,2.80467445742905,NA,-0.214285714285714,-0.601001669449082,0.303571428571429,41,65,8,15,45,4,14,21,20,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Blake Buchanan",1512,68,2.6984126984127,NA,-0.176470588235294,-0.476190476190476,0.264705882352941,27,39,4,10,29,2,7,11,12,18,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Bryce Walker",2396,112,2.80467445742905,NA,-0.214285714285714,-0.601001669449082,0.303571428571429,41,65,8,15,45,4,14,21,20,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Cavaliers",2396,112,2.80467445742905,NA,-0.214285714285714,-0.601001669449082,0.303571428571429,41,65,8,15,45,4,14,21,20,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Christian Bliss",2396,112,2.80467445742905,NA,-0.214285714285714,-0.601001669449082,0.303571428571429,41,65,8,15,45,4,14,21,20,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Dante Harris",1411,70,2.97661233167966,NA,-0.0428571428571429,-0.127569099929128,0.371428571428571,31,34,2,12,30,4,11,14,10,17,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Without Desmond Roberts",2396,112,2.80467445742905,NA,-0.214285714285714,-0.601001669449082,0.303571428571429,41,65,8,15,45,4,14,21,20,28,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
