"Half","Time","Description","Time_in_sec","Event","Token","Player","UVA_score","Opp_score","Possession","Opps","Possession Number"
1,"20:00","1ST HALF",1200,""," ","1ST",0,0,"Cavs","vsWVU",1
1,"20:00","Cavaliers lineup change (Isaac McKneely,Reece Beekman,Andrew Rohde,Ryan Dunn,Blake Buchanan)",1200,"Cav Sub"," ","Cavaliers",0,0,"","vsWVU",2
1,"19:33","Blake Buchanan vs. Jesse Edwards (Cavaliers gains possession)",1173,""," ","Blake",0,0,"Cavs","vsWVU",3
1,"19:31","Josiah Harris misses three point jump shot",1171,"Missed Three","misses","Josiah Harris",0,0,"Cavs","vsWVU",3
1,"19:29","Jesse Edwards offensive rebound",1169,"Off Rebound","offensive rebound","Jesse Edwards",0,0,"Cavs","vsWVU",3
1,"19:24","Blake Buchanan personal foul",1164,"Foul","personal foul","Blake Buchanan",0,0,"Cavs","vsWVU",3
1,"19:22","Blake Buchanan blocks Jesse Edwards's two point layup",1162,"Block","block","Blake Buchanan",0,0,"Cavs","vsWVU",3
1,"19:01","Isaac McKneely defensive rebound",1141,"Def Rebound","defensive rebound","Isaac McKneely",0,0,"Opp","vsWVU",4
1,"18:59","Reece Beekman misses three point jump shot",1139,"Missed Three","misses","Reece Beekman",0,0,"Opp","vsWVU",4
1,"18:37","Jesse Edwards defensive rebound",1117,"Def Rebound","defensive rebound","Jesse Edwards",0,0,"Cavs","vsWVU",5
1,"18:29","Josiah Harris turnover (lost ball) (Reece Beekman steals)",1109,"Turnover","turnover","Josiah Harris",0,0,"Opp","vsWVU",6
1,"18:27","Ryan Dunn misses three point jump shot",1107,"Missed Three","misses","Ryan Dunn",0,0,"Opp","vsWVU",6
1,"18:07","Kobe Johnson defensive rebound",1087,"Def Rebound","defensive rebound","Kobe Johnson",0,0,"Cavs","vsWVU",7
1,"18:05","Kobe Johnson misses two point layup",1085,"Missed Two","misses","Kobe Johnson",0,0,"Cavs","vsWVU",7
1,"17:50","Isaac McKneely defensive rebound",1070,"Def Rebound","defensive rebound","Isaac McKneely",0,0,"Opp","vsWVU",8
1,"17:48","Reece Beekman misses three point jump shot",1068,"Missed Three","misses","Reece Beekman",0,0,"Opp","vsWVU",8
1,"17:39","Quinn Slazinski defensive rebound",1059,"Def Rebound","defensive rebound","Quinn Slazinski",0,0,"Cavs","vsWVU",9
1,"17:24","Ofri Naveh turnover (bad pass)",1044,"Turnover","turnover","Ofri Naveh",0,0,"Opp","vsWVU",10
1,"17:19","Reece Beekman turnover (lost ball) (Jesse Edwards steals)",1039,"Turnover","turnover","Reece Beekman",0,0,"Cavs","vsWVU",11
1,"17:17","Blake Buchanan blocks Jesse Edwards's two point dunk",1037,"Block","block","Blake Buchanan",0,0,"Cavs","vsWVU",11
1,"17:09","Kobe Johnson offensive rebound",1029,"Off Rebound","offensive rebound","Kobe Johnson",0,0,"Cavs","vsWVU",11
1,"17:07","Quinn Slazinski misses two point jump shot",1027,"Missed Two","misses","Quinn Slazinski",0,0,"Cavs","vsWVU",11
1,"16:45","Isaac McKneely defensive rebound",1005,"Def Rebound","defensive rebound","Isaac McKneely",0,0,"Opp","vsWVU",12
1,"16:43","Isaac McKneely misses two point layup",1003,"Missed Two","misses","Isaac McKneely",0,0,"Opp","vsWVU",12
1,"16:43","Mountaineers defensive rebound",1003,"Def Rebound","defensive rebound","Mountaineers",0,0,"Cavs","vsWVU",13
1,"16:27","Cavaliers lineup change (Jordan Minor, Reece Beekman, Andrew Rohde, Isaac McKneely, Ryan Dunn)",987,"Cav Sub"," ","Cavaliers",0,0,"Cavs","vsWVU",13
1,"16:23","Kobe Johnson turnover (bad pass) (Reece Beekman steals)",983,"Turnover","turnover","Kobe Johnson",0,0,"Opp","vsWVU",14
1,"16:11","Jordan Minor makes two point layup (Reece Beekman assists)",971,"Made Two","makes","Jordan Minor",2,0,"Cavs","vsWVU",15
1,"16:04","Kobe Johnson turnover (traveling)",964,"Turnover","turnover","Kobe Johnson",2,0,"Opp","vsWVU",16
1,"15:49","Reece Beekman turnover (lost ball)",949,"Turnover","turnover","Reece Beekman",2,0,"Cavs","vsWVU",17
1,"15:49","Jordan Minor personal foul",949,"Foul","personal foul","Jordan Minor",2,0,"Cavs","vsWVU",17
1,"15:45","TV timeout",945,""," ","TV",2,0,"Cavs","vsWVU",17
