"Player","On_court_time","Possessions","poss_permin","efficiency","Pt_diff_perposs","Pt_diff_permin","def_eff","Pts.x","Pts_against","Tnovers.x","FG_made.x","FG_att.x","Three_made.x","Three_att.x","Rebounds","Opp_OReb","Opp_DReb","Defensive_plays","PER","Pts.y","Assists","Tnovers.y","FT_made","FT_att","FG_made.y","FG_att.y","Three_made.y","Three_att.y","Off_Rebounds","Def_Rebounds","Steals","Blocks","fouls"
"Andrew Rohde",1706,92,3.23563892145369,0.984759671746776,0.0217391304347826,0.0703399765533411,0.347826086956522,38,36,8,14,33,2,10,20,8,20,16,6.90499413833529,6,1,0,2,4,2,4,0,1,0,1,0,0,0
"Anthony Robinson",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Blake Buchanan",866,44,3.04849884526559,0.623556581986143,0.113636363636364,0.346420323325635,0.363636363636364,13,8,6,4,12,0,3,12,6,9,8,2.75064665127021,2,0,1,2,2,0,1,0,0,0,2,0,2,4
"Bryce Walker",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavaliers",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christian Bliss",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dante Harris",520,27,3.11538461538462,0.807692307692308,-0.0740740740740741,-0.230769230769231,0.0740740740740741,11,13,2,4,9,1,3,7,3,8,1,-3.10961538461538,0,0,0,0,0,0,1,0,1,0,2,0,0,1
"Desmond Roberts",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elijah Gertrude",0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Isaac McKneely",2114,111,3.15042573320719,1.24881740775781,0.0900900900900901,0.283822138126774,0.324324324324324,54,44,7,20,46,4,18,25,11,24,18,6.32571428571429,8,2,2,2,2,2,8,2,5,0,5,1,0,0
