"","Time","Lineup"
"1","1 20:00","Isaac McKneely, Reece Beekman, Andrew Rohde, Ryan Dunn, Jake Groves"
"2","1 02:39","Isaac McKneely, Reece Beekman, Ryan Dunn, Jake Groves, Dante Harris"
"3","1 03:56","Isaac McKneely, Reece Beekman, Ryan Dunn, Dante Harris, Jordan Minor, Leon Bond III"
"4","1 05:39","Isaac McKneely, Reece Beekman, Ryan Dunn, Jordan Minor, Leon Bond III, Reece Beekman"
"5","1 06:07","Isaac McKneely, Reece Beekman, Jordan Minor, Leon Bond III, Reece Beekman, Blake Buchanan"
"6","1 07:40","Isaac McKneely, Jordan Minor, Leon Bond III, Blake Buchanan, Dante Harris"
"7","1 08:20","Isaac McKneely, Jordan Minor, Leon Bond III, Andrew Rohde, Jake Groves"
"8","1 08:54","Isaac McKneely, Jordan Minor, Leon Bond III, Andrew Rohde, Jake Groves, Isaac McKneely"
"9","1 10:15","Isaac McKneely, Jordan Minor, Andrew Rohde, Jake Groves, Isaac McKneely, Ryan Dunn"
"10","1 12:05","Jordan Minor, Jake Groves, Ryan Dunn, Reece Beekman, Taine Murray"
"11","1 14:14","Jordan Minor, Jake Groves, Ryan Dunn, Taine Murray, Dante Harris"
"12","1 15:40","Jordan Minor, Taine Murray, Dante Harris, Blake Buchanan, Leon Bond III"
"13","2 02:16","Jordan Minor, Taine Murray, Dante Harris, Blake Buchanan, Leon Bond III, Tristan How"
"14","2 03:22","Jordan Minor, Taine Murray, Dante Harris, Blake Buchanan, Leon Bond III, Tristan How, Blake Buchanan"
"15","2 05:54","Jordan Minor, Taine Murray, Dante Harris, Blake Buchanan, Tristan How, Blake Buchanan, Ryan Dunn"
"16","2 06:22","Jordan Minor, Taine Murray, Dante Harris, Blake Buchanan, Tristan How, Blake Buchanan, Ryan Dunn, Dante Harris, Isaac McKneely"
"17","2 07:46","Jordan Minor, Taine Murray, Blake Buchanan, Tristan How, Blake Buchanan, Ryan Dunn, Isaac McKneely, Taine Murray, Jordan Minor"
"18","2 11:02","Jordan Minor, Taine Murray, Blake Buchanan, Tristan How, Blake Buchanan, Taine Murray, Jordan Minor, Reece Beekman, Jake Groves"
"19","2 13:03","Jordan Minor, Taine Murray, Blake Buchanan, Tristan How, Blake Buchanan, Taine Murray, Jordan Minor, Jake Groves, Andrew Rohde"
"20","2 13:15","Jordan Minor, Taine Murray, Tristan How, Taine Murray, Jordan Minor, Jake Groves, Andrew Rohde, Leon Bond III"
"21","2 14:21","Jordan Minor, Taine Murray, Tristan How, Taine Murray, Jordan Minor, Jake Groves, Leon Bond III, Dante Harris"
"22","2 17:18","Jordan Minor, Taine Murray, Tristan How, Taine Murray, Jordan Minor, Leon Bond III, Dante Harris, Blake Buchanan"
"23","2 20:00","Taine Murray, Tristan How, Taine Murray, Blake Buchanan, Andrew Rohde, Ryan Dunn, Jake Groves"
